Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
veterinary	-0.107	-0.16	-0.04	-0.021	-0.018	-0.052	0.015	0.192	-0.029	-0.073	0.015	-0.035	0.011	0.017	-0.036	-0.016	-0.021	-0.026	0.003	-0.035	0.082	0.023	-0.003	0.018	-0.031	-0.023	-0.016	0.127	-0.019	0.001	-0.103	-0.014	0.023	-0.05	-0.029	-0.025	-0.018	0.001	-0.01	-0.021	-0.027	-0.027	-0.037	-0.006	0.062	-0.02	-0.015	0.018	-0.016	-0.046	-0.023	-0.001	0.098	0.003	-0.087	-0.005	0.508	-0.022	-0.048	-0.018	-0.023	-0.027	-0.062	-0.038	-0.055	-0.015	0.634	-0.02	-0.026	-0.013	-0.074	-0.005	-0.003	-0.081	-0.049	-0.031	-0.003	0.001	-0.123	0.012	-0.016	-0.005	0.215	-0.008	-0.021	-0.034	-0.017	0.087	-0.013	-0.023	-0.011	-0.014	0.041	-0.028	-0.019	-0.022	0.015	-0.018	-0.013	-0.035
legislation	-0.124	-0.132	-0.046	-0.012	-0.004	-0.039	0.011	0.373	-0.019	-0.084	0.01	-0.042	-0.001	0.003	-0.023	-0.02	-0.015	-0.031	0.004	-0.018	0.055	0.105	0.008	0.005	-0.044	-0.026	-0.021	0.083	-0.024	-0.006	-0.122	-0.016	0.02	-0.06	-0.031	-0.025	-0.01	-0.01	-0.012	-0.026	-0.028	-0.037	-0.045	-0.008	0.149	-0.022	-0.025	0.004	-0.009	-0.06	-0.026	-0.007	0.07	0.019	-0.108	-0.013	0.49	-0.027	0.033	-0.023	-0.037	-0.045	-0.081	-0.042	-0.072	-0.014	0.467	0.007	-0.036	0.006	-0.067	-0.001	-0.003	-0.104	-0.063	-0.033	-0.003	0.143	-0.146	0.002	-0.02	-0.006	0.142	-0.011	-0.035	-0.022	-0.02	0.069	-0.007	-0.03	-0.01	-0.017	0.058	-0.048	-0.02	0.021	-0.025	0.046	-0.017	-0.043
beef	-0.059	0.022	-0.027	-0.022	-0.009	-0.024	-0.011	-0.034	-0.021	-0.013	-0.005	-0.028	0.005	-0.017	-0.025	-0.011	-0.009	-0.02	-0.008	-0.025	0.033	-0.027	-0.023	0.012	-0.015	-0.011	-0.016	0.063	-0.017	-0.001	0.085	-0.008	-0.002	-0.036	-0.019	0.046	-0.006	-0.026	-0.003	-0.005	-0.03	-0.026	-0.025	-0.002	-0.026	-0.014	-0.018	-0.026	-0.012	-0.043	-0.018	0.01	-0.016	-0.009	0.063	-0.009	-0.027	-0.018	-0.04	-0.014	0.003	-0.042	-0.041	-0.026	0.417	-0.014	0.124	0.017	-0.007	-0.012	-0.009	-0.003	-0.002	-0.056	-0.023	-0.022	0.006	-0.042	-0.035	-0.019	-0.007	-0.003	-0.014	-0.007	0.019	-0.025	-0.012	0.048	-0.011	-0.007	0.015	-0.011	-0.013	0.073	-0.017	0.113	-0.045	-0.013	-0.019	-0.02
information	-0.07	-0.113	-0.007	0.014	-0.009	0.352	0.02	0.083	0.014	-0.04	-0.007	0.224	0.015	0.052	0.069	0.028	0.006	-0.02	0.016	0.026	-0.004	0.027	0.053	0.036	-0.022	0.087	0.007	-0.046	0.019	0.014	-0.078	0.017	0.005	-0.029	0.005	0.005	0.015	-0.013	-0.006	-0.018	0.006	0.04	-0.022	0	-0.024	-0.009	0.071	0.134	0.038	-0.007	0.036	0.008	-0.015	0.036	-0.049	-0.009	0.02	0.012	0.088	0.032	-0.021	-0.027	-0.037	0.01	-0.021	0.028	-0.007	0.146	-0.018	0.028	-0.038	-0.004	-0.002	-0.077	0.115	0.003	0.005	0.029	-0.065	0.05	0.001	0.001	0.002	0.004	-0.033	0.103	-0.006	-0.01	0.045	-0.003	0.027	0.016	0.029	0.045	0	-0.001	-0.003	0.044	0.016	-0.011
verification	-0.042	-0.065	-0.012	-0.005	-0.009	0.204	-0.004	0.014	0.014	-0.026	-0.007	0.208	0.001	0.013	0.024	0.043	0.016	-0.01	0.016	-0.008	0.009	0.001	0.022	-0.008	-0.009	0.022	-0.007	-0.005	0.02	0.014	-0.044	0.005	0.01	-0.022	0.006	0.003	0.017	-0.015	-0.005	-0.007	0.011	0.007	-0.017	0.002	-0.011	-0.004	0.044	0.111	0.001	-0.015	0.047	0.008	-0.01	0.024	-0.026	-0.007	-0.024	0.008	-0.016	-0.007	-0.007	-0.023	-0.024	0.035	0.02	0.012	0.001	0.06	-0.012	0.015	-0.027	-0.002	-0.001	-0.031	0.225	0.006	0.015	-0.018	-0.023	-0.006	-0.005	-0.002	0.006	0.017	-0.017	0.01	-0.006	-0.009	-0.007	-0.002	0.014	-0.007	-0.005	-0.018	-0.008	-0.008	-0.005	0	-0.002	-0.014
cattle	-0.037	-0.03	-0.015	-0.011	-0.006	0.031	-0.008	0.039	-0.011	-0.016	-0.005	-0.007	0.007	0.017	-0.013	-0.006	0.004	-0.01	-0.004	-0.013	0.012	0.012	0.023	-0.004	0	0.002	-0.01	0.041	-0.009	0.014	-0.035	-0.002	0.015	-0.026	-0.007	0.103	0.089	-0.006	-0.004	-0.01	-0.015	-0.014	-0.013	0.004	0.036	-0.007	-0.006	-0.006	-0.009	-0.022	-0.006	0.01	0.008	0.009	0.009	-0.006	0.087	-0.01	-0.021	-0.007	0.003	-0.022	-0.021	-0.014	0.012	-0.007	0.211	0.001	-0.013	0	-0.025	-0.002	-0.001	-0.032	-0.013	-0.012	-0.002	-0.015	-0.035	-0.009	-0.006	-0.002	0.089	-0.001	-0.015	-0.012	-0.006	0.115	-0.003	-0.001	-0.005	-0.006	0.009	-0.015	-0.009	-0.007	-0.027	0.008	-0.007	-0.011
labelling	0.096	-0.072	-0.019	0.005	-0.007	0.008	0.015	0.064	-0.011	0.078	0	-0.017	-0.023	-0.008	-0.01	-0.006	-0.011	-0.011	-0.006	-0.011	0.035	0.123	0.053	0.004	-0.015	-0.009	-0.012	-0.059	0.015	-0.002	-0.046	-0.006	0.002	-0.03	-0.008	-0.012	0.002	-0.012	0.003	-0.01	-0.019	0.041	-0.018	0.024	0.026	-0.007	-0.011	-0.015	0.02	-0.016	-0.002	0.006	0	0.021	-0.024	-0.001	0.123	0	0.063	-0.007	-0.017	-0.028	-0.034	-0.017	-0.009	-0.007	-0.008	0.259	-0.016	0.019	0.092	-0.002	-0.001	-0.052	-0.026	-0.015	-0.013	0.108	-0.033	-0.013	0.001	-0.002	-0.02	-0.005	-0.023	-0.015	-0.008	-0.009	-0.002	-0.004	0.016	-0.006	-0.005	-0.015	-0.01	-0.008	-0.039	0.015	-0.005	0.026
health	-0.119	-0.189	-0.047	-0.029	-0.022	-0.05	0.01	0.442	-0.033	-0.082	0.011	-0.038	-0.026	-0.004	-0.041	-0.014	-0.006	-0.03	0.008	-0.04	0.035	0.141	0.027	0.002	-0.041	-0.022	-0.031	0.018	-0.023	-0.011	-0.119	-0.013	0.015	-0.06	-0.034	-0.026	0.015	-0.01	-0.012	-0.023	-0.048	-0.034	-0.044	0.002	0.178	-0.026	-0.022	0.029	0.094	-0.048	-0.007	-0.011	0.049	0.014	-0.106	-0.002	0.482	-0.02	0.142	-0.023	-0.041	-0.043	-0.081	-0.038	-0.072	-0.012	0.424	0.035	-0.03	0.02	-0.076	0.026	-0.003	-0.109	-0.06	-0.037	-0.005	0.181	-0.14	-0.008	-0.018	-0.006	0.128	-0.008	-0.033	-0.012	-0.019	0.052	0.054	-0.026	-0.006	-0.015	0.019	-0.047	-0.016	0.029	-0.037	0.068	0.013	-0.042
control	-0.106	-0.152	-0.022	-0.005	-0.017	-0.001	0.008	0.206	0.031	-0.007	0.006	-0.015	0.003	0.02	0.076	-0.015	0.005	-0.028	0.004	0.034	0.041	0.045	0.037	0.006	-0.021	0.015	-0.015	-0.012	0.05	0.002	-0.106	-0.009	0.033	-0.054	0.006	-0.017	0.004	-0.023	-0.011	-0.022	0.06	0.025	0.001	0.001	0.152	-0.008	-0.004	0.038	0.017	-0.007	-0.021	0.007	0.052	0.09	-0.087	-0.007	0.293	0.033	0.126	-0.014	-0.026	0.016	0.082	-0.013	-0.051	-0.016	0.268	0.001	-0.021	0.07	-0.064	-0.001	0.023	-0.105	-0.051	-0.023	0.007	0.03	-0.122	0.03	-0.007	0.014	0.126	-0.006	-0.025	0.015	-0.001	0.024	0.008	-0.024	-0.007	0.011	0.015	-0.011	0.011	0.029	0.016	0.055	0.006	-0.028
database	-0.018	-0.028	-0.004	0	-0.006	0.182	-0.004	-0.007	-0.006	-0.007	-0.003	0.034	0.002	0.016	0.001	-0.003	0.02	-0.005	0.015	-0.007	0	-0.007	-0.003	-0.003	0.002	0.024	-0.004	-0.006	-0.005	0.036	-0.018	0	0.044	-0.013	0.01	0.001	0.007	-0.007	-0.002	-0.006	-0.002	-0.006	-0.007	0.013	-0.01	-0.004	0.039	-0.003	0.007	-0.004	0	0.028	0.008	0.008	-0.015	-0.003	-0.001	-0.005	0.02	-0.004	-0.006	-0.011	-0.007	-0.004	0.006	0.001	0.078	0.017	-0.007	0	-0.013	-0.001	-0.001	-0.021	-0.003	0.008	0.014	-0.01	-0.021	0.001	-0.003	-0.001	-0.01	0.038	-0.01	0.01	-0.003	-0.003	-0.003	0.003	0.004	0.005	-0.004	0.001	-0.005	-0.003	-0.004	0.013	0.016	-0.003
