Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119
veterinary	-0.171	0.004	0.097	0.277	-0.042	0.326	-0.03	-0.005	-0.035	-0.038	-0.004	-0.017	-0.079	-0.011	-0.024	-0.01	-0.021	0.02	-0.018	-0.029	-0.021	-0.005	-0.017	0.036	-0.1	0.018	-0.04	0.017	-0.023	-0.068	-0.064	-0.034	-0.003	-0.013	0.057	-0.004	-0.038	-0.034	-0.021	0.208	0.026	-0.019	-0.014	0.084	0.133	0.139	-0.043	0.042	0.072	-0.044	-0.009	-0.006	0.004	-0.05	-0.109	0.009	-0.019	-0.04	0.001	0.322	-0.027	-0.007	-0.019	-0.02	-0.002	-0.018	-0.088	-0.004	-0.03	-0.003	-0.019	-0.009	-0.011	-0.026	-0.036	0.058	-0.041	-0.006	-0.016	0.06	0.033	0.476	-0.003	0.177	-0.064	0.107	-0.039	-0.01	0.006	0.038	-0.007	0.016	-0.019	0.041	-0.001	-0.026	-0.022	-0.004	0.018	-0.043	-0.09	-0.061	-0.062	-0.009	-0.014	-0.026	-0.004	-0.032	-0.029	-0.015	0.021	-0.023	-0.026	-0.006	-0.007	-0.004	-0.001	-0.026	-0.01	-0.017
legislation	-0.208	-0.006	0.075	0.211	-0.049	0.277	-0.007	-0.033	-0.061	0.022	-0.013	-0.02	-0.075	-0.016	-0.033	-0.013	-0.017	0.012	-0.02	-0.022	-0.035	0.008	-0.034	0.026	-0.116	-0.021	-0.044	0.019	-0.029	0.166	-0.072	-0.042	-0.005	-0.017	0.036	-0.004	-0.043	-0.036	-0.021	0.152	0.018	-0.018	-0.011	0.061	0.113	0.088	-0.043	0.033	0.059	-0.053	-0.013	-0.009	0.002	-0.067	-0.093	0.008	-0.022	-0.031	-0.003	0.271	-0.033	-0.005	-0.021	0.006	0.005	-0.022	-0.106	0.006	-0.033	0.013	0.129	-0.011	-0.017	-0.031	-0.019	0.033	-0.054	-0.009	-0.014	0.035	-0.009	0.542	-0.001	0.124	-0.081	0.065	-0.034	-0.013	0.001	0.1	0.003	0.003	-0.028	0.02	-0.006	-0.032	-0.023	0.006	-0.002	-0.052	-0.105	0.053	0.026	-0.004	-0.019	-0.033	-0.007	-0.01	-0.035	-0.007	0.01	-0.034	-0.028	-0.009	-0.009	-0.004	0.001	-0.031	-0.009	-0.012
beef	0.048	-0.018	-0.018	-0.015	-0.007	-0.021	-0.02	0.002	-0.035	-0.03	-0.001	-0.012	-0.041	-0.011	-0.015	-0.009	-0.019	-0.014	-0.006	-0.02	-0.013	-0.006	0.002	-0.02	-0.037	0.088	-0.027	0.007	-0.025	-0.075	-0.038	-0.023	0.009	-0.01	-0.028	-0.002	-0.026	-0.021	-0.012	0.179	-0.016	-0.014	-0.003	-0.026	0.009	0.018	0.091	-0.01	0.055	-0.03	-0.009	-0.001	-0.002	-0.036	-0.042	-0.018	-0.013	-0.03	-0.006	0.019	-0.018	-0.005	-0.026	-0.014	0	-0.013	0.187	-0.005	-0.02	-0.015	-0.025	0.017	0.001	-0.018	-0.025	-0.013	-0.037	-0.001	-0.012	0.031	-0.046	0.009	-0.03	-0.002	-0.055	-0.013	-0.027	-0.008	0.097	-0.007	-0.01	0.011	-0.009	0	-0.019	-0.007	-0.022	-0.004	-0.015	-0.013	0.174	-0.044	-0.042	-0.018	-0.012	-0.028	-0.009	-0.037	-0.022	-0.013	0.023	0.01	-0.022	-0.006	-0.007	-0.002	-0.006	-0.007	-0.01	-0.011
information	-0.125	0.054	0.068	-0.013	-0.017	-0.025	-0.013	0.01	-0.029	0.043	0.32	0.023	-0.012	0.029	-0.022	-0.005	0.002	0.012	-0.004	0.283	-0.005	0.004	-0.028	0.081	-0.08	-0.055	0.007	0.001	0.151	0.138	-0.021	-0.026	0.018	-0.001	-0.014	-0.003	0.005	0.054	0	-0.018	0.025	-0.006	0.029	0	-0.002	-0.062	0.075	-0.004	-0.002	-0.017	-0.009	0.018	-0.003	-0.017	-0.021	0.061	-0.008	0.033	0.032	0.11	-0.013	0.021	0.021	0.011	-0.002	-0.009	-0.052	0.028	-0.001	0.03	-0.002	0.012	-0.001	-0.014	0.032	0.024	-0.031	-0.002	0.016	-0.016	0.03	0.055	0.012	0.023	-0.05	0.047	0.069	-0.008	-0.016	0.011	-0.011	0.004	0.043	0.006	0.074	-0.001	0.044	0.028	0.056	-0.031	-0.057	-0.05	0	-0.02	-0.008	-0.005	0	0.026	0.065	0.009	0.021	-0.03	0.115	0.028	0.017	0.03	0.018	0.019	0.097	-0.001
verification	-0.07	0.088	-0.007	-0.012	-0.015	-0.019	-0.013	0.015	-0.018	-0.004	0.388	0.011	0.022	0.05	-0.012	-0.006	-0.001	-0.009	-0.008	0.154	0	-0.004	-0.013	0.047	-0.042	0.02	0.005	-0.008	0.039	0.035	-0.018	-0.015	0	-0.005	-0.012	-0.002	-0.009	0.016	-0.009	-0.006	-0.007	-0.008	-0.004	-0.01	-0.006	-0.023	-0.016	0.003	0.008	-0.019	-0.006	0.034	-0.002	-0.023	0.052	0.031	-0.009	0.011	-0.004	0.059	-0.012	0.033	0.005	-0.007	-0.005	-0.007	-0.034	0.035	0.012	0.019	-0.011	0.011	-0.008	-0.006	0.005	0.02	-0.022	0.006	-0.008	-0.009	0.008	-0.02	0.007	0.055	-0.018	0.036	0.023	-0.005	-0.006	0.015	-0.007	0.002	0.004	0.008	0.002	-0.002	0.039	0	0.031	-0.018	-0.034	-0.03	-0.005	-0.012	0.001	-0.007	-0.005	-0.004	-0.003	0.009	0.032	-0.016	0.094	0.036	0.011	0.054	0.008	0.049	-0.005	-0.008
cattle	-0.046	-0.009	0.035	0.011	-0.015	0.037	-0.012	0.004	0.014	-0.012	0.048	0.001	-0.025	0.054	-0.012	0.001	-0.009	-0.004	-0.006	-0.005	0.008	-0.003	0.002	-0.004	-0.028	0.018	-0.015	0.012	-0.013	-0.03	-0.024	-0.012	0.019	-0.005	0.011	-0.001	-0.014	-0.012	-0.007	0.146	-0.004	-0.007	-0.005	-0.014	0.051	0.038	-0.016	0.006	0.132	-0.015	-0.005	0.009	-0.001	-0.02	-0.023	-0.005	-0.007	-0.017	-0.003	0.154	-0.009	-0.003	-0.014	-0.006	0.005	-0.007	0.036	-0.003	-0.011	0.004	-0.014	0.007	-0.011	-0.009	-0.012	0.012	-0.02	0.006	-0.003	0.003	-0.021	0.118	-0.01	0.025	-0.021	-0.007	-0.015	-0.004	-0.011	0.012	-0.005	-0.002	-0.011	0.016	0.004	-0.01	-0.012	-0.007	0.012	-0.001	-0.029	-0.024	-0.019	-0.009	-0.009	-0.015	-0.006	-0.013	-0.012	-0.007	0.031	-0.015	-0.011	-0.003	-0.004	-0.001	-0.003	0.011	-0.005	-0.006
labelling	-0.075	-0.01	0	-0.011	0.254	-0.001	-0.013	-0.01	-0.028	0.083	0	-0.011	-0.021	-0.008	-0.014	-0.005	-0.012	-0.009	-0.008	0.036	-0.012	0.012	-0.021	-0.012	-0.052	-0.028	-0.019	-0.008	-0.011	0.067	-0.028	-0.016	0.011	-0.007	-0.002	-0.002	-0.009	0.058	-0.006	0.009	-0.008	-0.01	-0.006	-0.017	-0.002	-0.059	-0.017	0.004	0.007	-0.02	0	0.002	-0.002	0	-0.049	-0.003	-0.005	0.044	-0.004	0.031	-0.011	-0.003	-0.014	-0.009	0.014	-0.009	-0.039	0.015	-0.014	0.019	0.002	-0.003	-0.006	-0.012	-0.017	0.003	-0.025	0.007	0.023	0.035	-0.033	0.212	0.118	-0.018	-0.035	0	-0.015	-0.003	-0.015	0.153	0.005	-0.015	-0.014	-0.023	-0.008	-0.011	0.013	0.012	-0.011	-0.019	-0.041	-0.027	0.02	-0.012	-0.01	-0.004	0.002	0.049	-0.016	-0.001	0.024	-0.018	-0.006	-0.004	-0.004	-0.002	0.061	0.019	-0.007	-0.005
health	-0.204	-0.019	0.148	0.141	-0.048	0.29	0.004	-0.042	-0.057	0.083	-0.004	-0.015	-0.063	0.002	-0.027	-0.015	-0.004	0.014	-0.019	-0.02	-0.039	-0.001	-0.038	0.039	-0.118	-0.082	-0.048	0.006	-0.028	0.296	-0.07	-0.04	-0.001	-0.012	0.022	-0.004	-0.041	-0.035	-0.013	0.114	0.015	-0.02	-0.01	0.062	0.092	0.062	-0.034	0.017	0.044	-0.051	-0.007	0.003	0.003	-0.05	-0.127	0.016	-0.023	-0.027	-0.011	0.269	-0.031	-0.007	-0.026	-0.024	0.046	-0.02	-0.103	-0.009	-0.032	0.01	0.159	-0.007	-0.012	-0.032	-0.043	0.02	-0.052	-0.002	0.012	0.039	-0.018	0.581	0.009	0.073	-0.083	0.03	-0.044	-0.013	-0.011	0.112	-0.005	0.001	-0.027	-0.014	-0.008	-0.034	-0.022	-0.002	-0.003	-0.049	-0.105	-0.076	-0.057	-0.002	-0.019	-0.024	-0.015	0.038	-0.022	-0.016	0	-0.031	-0.019	-0.011	-0.009	-0.004	0.006	-0.03	-0.012	-0.02
control	-0.18	0.01	0.058	0.106	-0.041	0.181	0.026	-0.015	-0.021	0.064	-0.004	-0.015	-0.057	-0.008	-0.023	0.001	-0.008	0.075	-0.014	-0.016	-0.003	0.016	-0.035	0.034	-0.107	-0.093	-0.008	0.004	0.009	0.119	-0.058	-0.035	0.018	-0.002	0.065	0.015	-0.018	0.004	-0.019	0.095	-0.004	-0.017	-0.01	0.127	0.064	-0.005	-0.004	0.02	0.048	-0.006	0.01	-0.006	0.004	-0.024	-0.113	0.011	-0.017	0.027	-0.007	0.285	-0.028	-0.008	-0.017	0.035	0.002	-0.01	-0.089	-0.005	-0.02	0.101	0.115	0.006	0.007	-0.011	0.063	0.046	-0.017	-0.006	-0.005	0.02	0.026	0.289	0.024	0.08	-0.078	0.042	0.022	-0.012	-0.012	0.061	-0.008	0.029	0.033	-0.001	0.03	-0.01	0.02	-0.005	0.014	-0.035	0.017	-0.064	-0.002	0	-0.013	0.006	-0.003	0.028	-0.004	-0.009	0.011	-0.023	-0.004	-0.006	-0.003	0.002	-0.005	-0.006	-0.013	0.079
database	-0.03	0.005	0.013	-0.003	-0.007	-0.01	-0.005	0	-0.005	-0.007	0.098	0.03	-0.011	-0.002	-0.006	-0.002	-0.005	-0.004	-0.003	0.071	0.004	-0.002	-0.006	0	-0.02	-0.008	0.003	-0.003	0.016	0.007	-0.01	-0.006	0.018	-0.003	-0.008	-0.001	-0.004	-0.005	0.008	0.017	-0.004	-0.004	-0.002	-0.007	0.019	-0.024	0	-0.005	0.025	-0.008	-0.002	0.008	-0.001	-0.002	-0.018	0.039	-0.003	-0.007	0.027	0.196	-0.005	-0.001	0.012	-0.004	-0.002	-0.004	-0.012	-0.004	-0.005	0.002	-0.007	0.002	0.014	-0.005	-0.007	0.003	-0.01	0.025	-0.003	-0.007	0.006	0.026	0.005	0.017	-0.016	0.014	0.003	-0.002	-0.006	0.021	-0.003	0.016	0.009	-0.004	0.023	-0.001	-0.004	-0.003	0.029	-0.007	-0.01	-0.011	-0.004	-0.005	-0.004	-0.001	-0.003	0.004	-0.005	-0.003	0.078	-0.008	0.023	0.018	0.009	-0.001	-0.002	-0.005	-0.003	-0.003
