Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79
veterinary	-0.005	-0.02	-0.025	-0.066	-0.027	-0.021	-0.001	-0.015	-0.143	-0.129	0.032	0	0.043	-0.003	-0.036	-0.022	-0.032	0	-0.065	-0.015	-0.023	-0.025	-0.076	-0.034	0	-0.035	0.008	-0.067	-0.01	-0.017	-0.009	0.084	0.012	-0.02	-0.03	-0.029	-0.018	-0.044	-0.019	-0.029	-0.026	-0.098	-0.004	0.031	-0.032	0.823	-0.018	-0.029	-0.014	-0.026	-0.026	-0.016	-0.01	-0.029	0.05	-0.037	-0.011	-0.048	0.16	0.047	-0.059	-0.078	-0.045	-0.023	-0.004	-0.021	-0.113	-0.033	-0.006	-0.023	-0.02	-0.022	-0.032	-0.008	0.011	-0.019	-0.007	-0.02	-0.058	-0.149
legislation	-0.023	-0.023	-0.021	-0.074	-0.024	-0.023	-0.015	-0.018	-0.124	-0.157	0.051	0.011	0.034	-0.001	-0.05	-0.026	-0.045	-0.022	-0.056	-0.015	-0.024	-0.033	-0.09	-0.009	-0.002	-0.039	-0.002	-0.068	0.002	0.035	-0.013	0.057	0.017	-0.031	-0.013	-0.035	-0.027	-0.059	-0.02	-0.031	0.042	-0.118	-0.002	0.015	-0.038	0.65	-0.022	0.003	-0.01	-0.035	0.001	-0.019	-0.009	-0.036	0.009	-0.011	-0.01	-0.057	0.381	0.038	-0.033	-0.065	0.124	-0.042	-0.008	-0.028	-0.136	-0.042	-0.007	-0.025	-0.026	-0.026	-0.033	-0.016	0.025	-0.023	0.011	-0.03	-0.071	-0.183
beef	-0.026	-0.01	0.03	-0.033	-0.002	-0.021	-0.017	-0.023	0.042	-0.036	0.043	-0.014	-0.022	-0.005	-0.028	-0.017	0.095	0.027	-0.009	-0.014	-0.016	0.059	-0.023	-0.027	-0.004	-0.026	-0.014	-0.054	0.016	-0.026	-0.009	-0.021	0.007	-0.022	-0.021	-0.022	-0.015	-0.034	-0.008	-0.019	-0.023	0.126	0.051	0.008	-0.021	0.153	-0.011	-0.006	-0.01	-0.017	-0.03	-0.012	-0.014	-0.007	-0.041	-0.026	-0.007	-0.031	-0.055	-0.005	-0.03	-0.045	-0.037	-0.042	-0.004	-0.002	-0.019	-0.023	-0.004	-0.02	-0.007	-0.014	-0.023	-0.002	0.003	-0.008	-0.006	0.005	-0.02	0.096
information	0.113	-0.004	0.006	-0.02	0.007	0.043	0.086	0.121	-0.1	-0.072	0.001	0.038	0.003	-0.002	-0.013	-0.008	-0.024	-0.033	0.303	-0.014	-0.006	0.081	-0.034	0.079	-0.004	0.046	-0.005	-0.001	0.026	-0.025	0.003	0.002	0.015	0.015	0.002	0.023	0.067	-0.01	-0.013	0.003	0.015	-0.072	0.085	-0.017	-0.019	-0.026	-0.004	-0.01	0.077	-0.022	0.086	0.003	0.014	0.02	0.03	0.049	0.022	-0.02	0.099	-0.002	0.013	-0.058	0.071	-0.026	0.002	-0.013	-0.054	0.082	-0.005	0.138	-0.01	-0.013	0.053	0.027	0.028	0.029	0.007	-0.028	-0.045	-0.086
verification	0.073	-0.009	-0.006	-0.018	0.001	0.027	0.034	-0.003	-0.057	-0.012	-0.006	-0.004	-0.003	-0.005	-0.007	-0.002	0.028	-0.018	0.261	-0.009	0.001	0.02	0.004	0.007	-0.002	0.002	0.004	-0.016	0.02	-0.015	-0.004	0.01	0.026	0.006	0.01	0.006	0.056	-0.017	-0.011	0.006	-0.006	-0.042	0.078	-0.002	-0.012	-0.013	-0.003	-0.012	0.029	-0.013	-0.003	-0.003	-0.007	-0.005	-0.001	0.014	0.02	-0.021	-0.008	-0.006	0.028	-0.034	-0.011	-0.023	0	-0.006	-0.004	0.102	-0.003	0.076	-0.01	-0.01	0.092	0.007	0.019	0.042	-0.004	-0.016	-0.023	-0.04
cattle	0.007	-0.007	0.044	-0.025	-0.01	-0.011	0.008	-0.012	-0.044	-0.034	0.103	-0.005	-0.015	0	-0.001	-0.009	-0.006	-0.008	0.014	-0.007	-0.007	0.02	-0.022	-0.012	-0.002	-0.012	0.002	-0.029	0.023	-0.014	-0.004	0.01	0.014	-0.005	-0.011	-0.011	-0.007	-0.018	-0.008	-0.007	-0.005	-0.033	0.016	-0.011	-0.012	0.231	-0.006	-0.003	-0.005	-0.011	-0.009	-0.006	-0.008	0.002	-0.025	-0.012	-0.004	-0.017	0.021	0.016	-0.017	-0.028	-0.022	-0.023	0.006	-0.009	-0.018	-0.011	-0.002	-0.01	-0.009	-0.008	-0.013	-0.005	0.006	0.043	-0.003	-0.015	-0.019	-0.004
labelling	-0.02	-0.007	-0.012	-0.03	0	-0.003	-0.012	-0.016	-0.062	-0.059	-0.009	-0.007	0.021	-0.006	-0.012	-0.011	-0.042	-0.007	0.01	-0.01	-0.009	-0.008	-0.034	-0.018	0.059	0.056	-0.009	0.151	0.03	-0.01	0.054	0.001	0.007	-0.012	-0.014	0.007	-0.005	-0.021	-0.009	-0.011	-0.014	-0.044	0.144	-0.012	-0.015	-0.024	-0.006	-0.022	-0.006	-0.014	0.129	0.003	-0.007	-0.012	-0.03	-0.013	0.001	-0.022	0.227	0.006	0.118	-0.032	0.002	-0.027	0.006	-0.01	-0.057	-0.016	0.003	-0.002	-0.012	-0.006	-0.015	-0.006	0.032	-0.009	0.018	-0.019	-0.028	-0.066
health	-0.024	-0.024	-0.022	-0.072	-0.025	-0.025	-0.015	-0.025	-0.168	-0.153	0.01	-0.009	0.041	-0.009	-0.048	-0.028	-0.082	-0.025	-0.051	-0.022	-0.019	-0.025	-0.088	-0.045	-0.002	-0.029	-0.006	-0.057	-0.005	-0.02	-0.01	0.026	0.006	-0.007	-0.034	-0.03	-0.013	-0.053	-0.012	-0.037	-0.035	-0.116	0	0.011	-0.037	0.566	-0.019	0.019	0.041	-0.03	0.083	-0.013	-0.016	-0.043	0.001	-0.021	-0.01	-0.055	0.476	0.022	-0.021	-0.093	0.219	-0.038	-0.008	-0.021	-0.132	-0.032	-0.007	-0.025	-0.025	-0.025	-0.019	-0.013	0.018	-0.008	-0.01	-0.028	-0.064	-0.179
control	0.047	-0.014	-0.02	-0.059	0.04	-0.005	0.018	0.017	-0.142	-0.138	0.018	0.022	0.054	-0.007	-0.027	-0.005	-0.061	-0.024	-0.013	-0.013	-0.017	0.002	-0.077	0.054	0.006	0.033	-0.001	-0.033	0.028	-0.017	-0.003	0.068	0.009	0.003	0.017	0.045	-0.014	-0.002	-0.002	0.014	-0.009	-0.095	-0.001	0.019	-0.001	0.381	-0.011	0.036	-0.006	-0.027	0.009	-0.012	0.016	-0.029	0.031	0.01	-0.003	-0.011	0.221	0.018	-0.007	-0.083	0.116	0.021	0.001	-0.014	-0.12	-0.012	0.003	-0.007	-0.014	-0.018	-0.017	-0.01	0.1	-0.011	0.01	-0.02	-0.06	-0.098
database	0.028	-0.004	-0.005	-0.011	-0.002	0.032	0.031	0.004	-0.025	-0.023	-0.004	-0.004	-0.007	-0.003	-0.003	-0.001	-0.011	-0.011	0.125	-0.001	-0.001	0.07	-0.011	-0.005	-0.001	-0.002	-0.004	-0.012	0.057	-0.007	-0.002	0.011	0.028	0.028	-0.006	-0.006	-0.001	-0.002	-0.005	0.014	0	-0.018	0.035	-0.007	-0.006	0.044	-0.003	-0.007	-0.003	-0.006	-0.008	-0.004	-0.004	-0.011	-0.004	-0.002	-0.002	-0.009	-0.006	0.015	-0.01	-0.014	-0.002	-0.011	0.015	-0.005	-0.015	-0.005	-0.001	0.039	-0.005	-0.004	-0.006	0.041	0.003	0	-0.002	-0.008	-0.011	-0.02
