	Unnamed: 0	name/period	Economic_situation	Euro	SMEs	Employment	Taxation	Immigration	Asylum	Climate_change	Energy/aviation	Energy/steel	Insurance/pension
0	0	html_no	6.0	44.0	16.0	17.0	74.0	43.0	80.0	35.0	29.0	67.0	85.0
1	1	topic_no	45.0	75.0	28.0	63.0	34.0	79.0	83.0	57.0	41.0	8.0	16.0
2	0	1	0.026	0.187	0.12	0.251	0.087	0.009	0.0	0.213	0.725	0.279	0.079
3	1	2	0.0	0.01	0.218	0.228	0.01	0.013	0.0	0.0	0.046	0.289	0.068
4	2	3	0.027	0.031	0.065	0.083	0.023	0.086	0.002	0.045	0.338	0.147	0.067
5	3	4	0.035	0.025	0.103	0.156	0.075	0.034	0.0	0.095	0.281	0.13	0.11
6	4	5	0.018	0.098	0.247	0.414	0.04	0.062	0.0	0.071	0.156	0.257	0.132
7	5	6	0.037	0.142	0.145	0.078	0.058	0.07	0.005	0.045	0.021	0.092	0.083
8	6	7	0.009	0.23	0.106	0.13	0.093	0.106	0.003	0.101	0.185	0.235	0.032
9	7	8	0.028	0.003	0.123	0.135	0.15	0.054	0.0	0.041	0.186	0.189	0.104
10	8	9	0.027	0.16	0.055	0.088	0.108	0.075	0.0	0.098	0.33	0.064	0.138
11	9	10	0.0	0.009	0.033	0.098	0.095	0.101	0.002	0.059	0.181	0.131	0.111
12	10	11	0.03	0.085	0.21	0.172	0.063	0.136	0.0	0.059	0.225	0.027	0.147
13	11	12	0.081	0.139	0.226	0.049	0.12	0.417	0.028	0.267	0.257	0.112	0.302
14	12	13	0.04	0.248	0.119	0.309	0.272	0.699	0.017	0.04	0.472	0.082	0.159
15	13	14	0.041	0.081	0.312	0.147	0.179	0.267	0.005	0.051	0.52	0.06	0.305
16	14	15	0.082	0.13	0.764	0.099	0.431	0.088	0.012	0.092	0.414	0.102	0.356
17	15	16	0.029	0.095	0.654	0.24	0.116	0.236	0.009	0.08	0.229	0.115	0.127
18	16	17	0.031	0.127	0.753	0.128	0.103	0.055	0.0	0.243	0.728	0.089	0.134
19	17	18	0.028	0.137	0.349	0.197	0.163	0.675	0.02	0.188	1.44	0.034	0.261
20	18	19	0.04	0.205	0.589	0.341	0.173	0.321	0.005	0.074	0.625	0.448	0.192
21	19	20	0.039	0.052	0.434	0.166	0.106	0.909	0.031	0.134	0.56	0.029	0.112
22	20	21	0.087	0.167	0.173	0.086	0.057	0.373	0.01	0.274	0.766	0.072	0.157
23	21	22	0.012	0.11	0.213	0.202	0.115	0.473	0.028	0.018	0.405	0.061	0.252
24	22	23	0.103	0.079	0.109	0.189	0.1	0.771	0.009	0.121	0.457	0.16	0.087
25	23	24	0.1	0.119	0.082	0.198	0.261	0.334	0.002	0.135	0.203	0.104	0.204
26	24	25	0.188	0.38	0.043	0.264	0.232	0.378	0.021	0.244	0.303	0.123	0.172
27	25	26	0.225	0.688	0.077	0.442	0.121	0.595	0.006	0.2	0.594	0.145	0.792
28	26	27	0.279	0.219	0.049	0.336	0.146	0.42	0.014	0.189	0.629	0.074	0.665
29	27	28	0.273	0.156	0.041	0.376	0.127	0.206	0.018	0.27	0.505	0.014	0.403
30	28	29	0.221	0.434	0.036	0.499	0.385	0.311	0.015	0.573	0.587	0.027	0.63
31	29	30	0.233	0.156	0.025	0.18	0.077	0.158	0.001	0.352	0.573	0.021	0.252
32	30	31	0.602	0.489	0.08	0.19	0.03	0.406	0.012	0.449	0.397	0.209	0.113
33	31	32	0.248	0.158	0.047	0.134	0.149	0.042	0.021	0.599	0.365	0.029	0.054
34	32	33	0.122	0.22	0.064	0.179	0.074	0.242	0.016	0.337	0.436	0.038	0.182
35	33	34	0.057	0.204	0.109	0.277	0.224	0.074	0.002	0.543	0.371	0.033	0.224
36	34	35	0.246	0.34	0.07	0.25	0.065	0.135	0.007	0.371	0.17	0.032	0.161
37	35	36	0.206	0.402	0.019	0.154	0.149	0.436	0.01	0.684	0.329	0.058	0.15
38	36	37	0.16	0.218	0.023	0.212	0.059	0.284	0.04	0.385	0.667	0.037	0.092
39	37	38	0.055	0.207	0.045	0.095	0.14	0.185	0.004	0.375	0.865	0.026	0.04
40	38	39	0.296	0.169	0.066	0.185	0.105	0.197	0.013	0.302	0.244	0.076	0.084
41	39	40	0.374	0.592	0.042	0.054	0.211	0.208	0.008	0.595	0.312	0.031	0.18
