	Unnamed: 0	name/period	Economic_situation	Euro	SMEs	Employment	Taxation	Immigration	Asylum	Climate_change	Energy/aviation	Energy/steel	Insurance/pension
0	0	html_no	6.0	44.0	16.0	17.0	74.0	43.0	80.0	35.0	29.0	67.0	85.0
1	1	topic_no	45.0	75.0	28.0	63.0	34.0	79.0	83.0	57.0	41.0	8.0	16.0
2	0	2	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.638	0.283	0.0	0.004
3	1	3	0.0	0.427	0.081	2.082	0.538	0.0	0.0	0.159	0.142	0.019	0.334
4	2	4	0.0	0.0	0.0	0.252	0.03	0.026	0.0	0.539	0.517	0.0	0.0
5	3	5	0.0	0.039	0.016	0.168	0.069	0.003	0.0	0.0	0.105	0.0	0.016
6	4	6	0.0	0.005	0.0	0.212	0.015	0.0	0.0	0.18	0.114	0.0	0.024
7	5	7	0.0	0.044	0.0	0.104	0.024	0.134	0.0	0.017	0.011	0.0	0.0
8	6	8	0.0	0.014	0.0	0.0	0.038	0.013	0.0	0.028	0.306	0.0	0.0
9	7	9	0.0	0.014	0.0	0.216	0.062	0.0	0.0	0.0	0.134	0.0	0.066
10	8	10	0.0	0.013	0.006	0.108	0.011	0.055	0.0	0.089	0.0	0.0	0.0
11	9	11	0.011	0.018	0.0	0.009	0.095	0.0	0.0	0.107	0.322	0.0	0.016
12	10	12	0.0	0.0	0.005	0.1	0.119	0.072	0.0	0.068	0.233	0.0	0.0
13	11	13	0.0	0.0	0.0	0.084	0.509	2.074	0.0	4.005	0.494	0.666	0.297
14	12	14	0.0	0.03	0.101	0.0	0.665	0.961	0.0	1.402	0.605	0.0	1.122
15	13	15	0.0	0.0	0.0	0.321	0.0	0.035	0.0	0.489	0.151	0.0	0.512
16	14	16	0.0	0.037	0.0	0.312	0.055	0.418	0.0	0.078	0.696	0.0	0.046
17	15	17	0.0	0.015	0.015	0.059	0.128	0.0	0.0	0.493	0.284	0.0	0.009
18	16	18	0.0	0.0	0.019	0.048	0.06	0.129	0.0	0.042	0.224	0.0	0.0
19	17	19	0.0	0.0	0.034	0.177	0.0	0.042	0.0	0.096	0.101	0.0	0.041
20	18	20	0.025	0.118	0.076	0.058	0.311	0.077	0.0	0.058	0.734	0.017	0.067
21	19	21	0.0	0.0	0.0	0.197	0.057	0.0	0.0	0.188	0.068	0.0	0.234
22	20	22	0.015	0.117	0.0	0.738	0.268	0.0	0.0	0.38	1.478	0.086	0.311
23	21	23	0.01	0.006	0.08	0.003	0.046	0.035	0.0	0.233	0.569	0.0	0.1
24	22	24	0.0	0.017	0.015	0.384	0.332	0.037	0.0	0.05	0.207	0.0	0.108
25	23	25	0.0	0.036	0.0	0.505	0.034	0.023	0.0	0.141	0.289	0.0	0.114
26	24	26	0.013	0.0	0.026	0.013	0.018	0.0	0.0	0.046	0.033	0.014	0.0
27	25	27	0.0	0.0	0.0	0.0	0.29	0.482	0.046	0.173	0.016	0.0	0.152
28	26	28	0.646	0.0	0.09	0.531	0.473	1.408	0.0	0.301	0.065	0.019	0.11
29	27	29	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.182
30	28	30	0.0	0.0	0.014	0.0	0.0	0.062	0.0	0.0	0.046	0.011	0.012
31	29	31	0.0	0.044	0.0	0.076	0.039	0.0	0.0	0.036	0.182	0.013	0.015
32	30	32	0.0	0.002	0.0	0.244	0.003	0.0	0.0	0.023	0.056	0.004	0.37
33	31	33	0.021	0.052	0.033	0.0	0.051	0.061	0.0	0.05	0.034	0.006	0.0
34	32	34	0.0	0.0	0.1	1.619	0.148	0.01	0.0	0.968	1.237	0.0	0.0
35	33	35	0.0	0.0	0.0	0.535	0.0	0.0	0.0	0.63	2.385	0.0	0.0
36	34	36	0.0	0.0	0.162	0.0	0.575	0.124	0.0	0.028	0.019	0.0	0.0
37	35	37	0.0	0.016	0.008	0.003	0.062	0.0	0.0	0.045	0.113	0.073	0.0
38	36	38	0.0	0.0	0.0	0.034	0.073	0.012	0.0	0.135	0.012	0.0	0.033
39	37	39	0.0	0.0	0.057	0.0	0.0	0.082	0.0	0.017	0.076	0.0	0.086
40	38	40	0.0	0.64	0.1	0.531	0.0	0.0	0.0	0.053	0.148	0.064	0.0
