id	name/period	Economic_situation	Euro	SMEs	Employment	Taxation	Immigration	Asylum	Climate_change	Energy/aviation	Energy/steel	Insurance/pension
0	html_no	6	44	16	17	74	43	80	35	29	67	85
1	topic_no	45	75	28	63	34	79	83	57	41	8	16
2	2	0	0.237	0.043	0.225	0.005	0.202	0.004	0.041	0.519	0.06	0.641
3	3	0.029	0.193	0.104	0.088	0.039	0.006	0.006	0.022	0.103	0.012	0.123
4	4	0.008	0.095	0.005	0.039	0.009	0.009	0	0.002	0.055	0.018	0.021
5	5	0.006	0.084	0.019	0.061	0.013	0.004	0.002	0.015	0.016	0.004	0.026
6	6	0.008	0.069	0.012	0.018	0	0.146	0	0.003	0.033	0.007	0.045
7	7	0.011	0.255	0.048	0.032	0.018	0.039	0.008	0.017	0.073	0.006	0.147
8	8	0.013	0.156	0.013	0.065	0.013	0.079	0.016	0.023	0.091	0.026	0.121
9	9	0.006	0.082	0.015	0.008	0.019	0.064	0.002	0.003	0.157	0.049	0.177
10	10	0.003	0.035	0.014	0.048	0.005	0.168	0	0.021	0.085	0.097	0.041
11	11	0.003	0.043	0.012	0.031	0.019	0.064	0	0.008	0.04	0.036	0.07
12	12	0.011	0.047	0.066	0.034	0.013	0.11	0.011	0.02	0.119	0.07	0.156
13	13	0	0.147	0.078	0.067	0.04	0.008	0.003	0.012	0.058	0.103	0.288
14	14	0.002	0.141	0.013	0.073	0.043	0.142	0.002	0.02	0.082	0.068	0.183
15	15	0.135	0.196	0.037	0.097	0.039	0.103	0.033	0.028	0.098	0.162	0.423
16	16	0.012	0.124	0.059	0.072	0.012	0.159	0.016	0.027	0.57	0.034	0.326
17	17	0.013	0.144	0.035	0.088	0.033	0.007	0.003	0.166	0.554	0.002	0.156
18	18	0.009	0.14	0.041	0.165	0.021	0.034	0.065	0.016	0.247	0.068	0.337
19	19	0.006	0.015	0.058	0.038	0.009	0.093	0.018	0.088	0.526	0.031	0.112
20	20	0.003	0.074	0.084	0.157	0.094	0.118	0	0.128	0.481	0.127	0.3
21	21	0.007	0.079	0.058	0.086	0.01	0.033	0.001	0.048	0.199	0.071	0.175
22	22	0.033	0.155	0.072	0.064	0.023	0.107	0	0.083	0.591	0.047	0.206
23	23	0.009	0.14	0.091	0.076	0.017	0.118	0.002	0.039	0.384	0.072	0.101
24	24	0.012	0.054	0.064	0.109	0.035	0.219	0.001	0.047	0.664	0.084	0.14
25	25	0.023	0.116	0.106	0.048	0.01	0.139	0	0.087	0.718	0.047	0.04
26	26	0.017	0.167	0.067	0.065	0.018	0.067	0.019	0.185	1.417	0.031	0.199
27	27	0.047	0.053	0.024	0.111	0.019	0.109	0.001	0.235	0.303	0.047	0.035
28	28	0.167	0.404	0.02	0.034	0.056	0.112	0.01	0.13	0.457	0.045	0.176
29	29	0.047	0.257	0.064	0.043	0.019	0.016	0.002	0.154	0.431	0.079	0.262
30	30	0.016	0.04	0.231	0.048	0.035	0.022	0.001	0.284	0.183	0.024	0.077
31	31	0.006	0.082	0.126	0.005	0.018	0.048	0	0.089	0.211	0.025	0.088
32	32	0.038	0.108	0.069	0.065	0.032	0.154	0.006	0.34	0.367	0.024	0.121
33	33	0.007	0.18	0.065	0.092	0.022	0.089	0.004	0.174	0.182	0.066	0.106
34	34	0.005	0.097	0.014	0.042	0.025	0.047	0.001	0.101	0.455	0.023	0.181
35	35	0.01	0.138	0.025	0.006	0.016	0.083	0.007	0.114	0.248	0.053	0.182
36	36	0.031	0.111	0.054	0.014	0.024	0.049	0.001	0.197	0.586	0.019	0.116
37	37	0.028	0.142	0.022	0.019	0.03	0.008	0.004	0.134	0.05	0.028	0.147
38	38	0.004	0.048	0.001	0.031	0.055	0.183	0.001	0.367	0.223	0.011	0.107
39	39	0.001	0.045	0.005	0.007	0.018	0.05	0	0.223	0.077	0.02	0.054
40	40	0.035	0.157	0.009	0.142	0.057	0.095	0	0.28	0.192	0.046	0.297
