id	name/period	Economic_situation	Euro	SMEs	Employment	Taxation	Immigration	Asylum	Climate_change	Energy/aviation	Energy/steel	Insurance/pension
0	html_no	6	44	16	17	74	43	80	35	29	67	85
1	topic_no	45	75	28	63	34	79	83	57	41	8	16
2	3	1.378	1.505	1.102	1.402	0.23	0.557	0.688	0.742	0.64	0.488	0.067
3	4	2.025	0.692	2.275	1.816	0.478	0.532	0.623	0.734	0.923	0.421	0.405
4	5	1.585	1.188	3.271	1.454	0.486	0.826	0.505	0.61	0.893	0.277	0.273
5	6	1.748	0.514	2.264	1.449	0.556	0.991	0.604	0.639	0.928	0.463	0.502
6	7	2.453	1.289	1.974	1.803	0.396	0.716	0.7	0.738	0.993	0.255	0.445
7	8	1.852	0.672	2.762	1.649	0.46	0.803	0.585	0.371	0.945	0.455	0.456
8	9	2.06	0.633	2.24	1.594	0.279	0.979	0.655	0.99	1.379	0.344	0.167
9	10	2.583	0.516	1.879	2.005	0.235	1.34	0.394	0.297	0.432	0.208	0.344
10	11	2.374	0.853	2.88	1.417	0.335	0.774	0.371	0.705	1.103	0.35	0.44
11	12	2.178	0.455	2.043	1.774	0.445	1.159	0.37	0.512	0.952	0.372	0.297
12	13	4.711	1.422	0.801	1.335	0.199	0.643	0.866	0.345	0.398	0.272	0.081
13	14	4.195	0.386	1.71	1.557	0.306	0.649	0.573	0.884	0.477	0.465	0.213
14	15	2.896	0.739	3.131	1.793	0.266	0.942	0.742	0.719	1.236	0.559	0.135
15	16	2.281	0.288	2.954	2.695	0.486	0.582	0.307	0.982	1.522	0.848	0.2
16	17	2.384	0.922	2.418	1.28	0.409	1.723	0.511	1.07	1.292	0.801	0.139
17	18	2.14	0.582	2.515	1.861	0.351	0.922	0.317	1.534	1.557	0.783	0.108
18	19	2.043	0.745	2.117	1.785	0.474	1.249	0.565	1.205	1.655	0.689	0.364
19	20	2.499	0.355	2.147	1.908	0.411	1.482	0.398	3.05	1.682	0.882	0.229
20	21	2.399	1.275	2.164	1.96	0.357	1.133	0.46	1.89	2.007	0.545	0.261
21	22	4.743	1.255	2.994	2.296	0.462	1.685	0.72	2.902	1.691	1.22	0.3
22	23	5.011	0.463	1.145	2.83	0.332	1.613	1.076	2.015	1.421	0.906	0.133
23	24	5.617	1.421	1.559	2.164	0.725	1.116	0.524	2.384	1.092	0.547	0.135
24	25	7.124	1.477	2.483	3.146	0.472	0.929	0.493	1.149	1.15	0.714	0.246
25	26	4.752	1.456	2.873	2.319	0.633	1.355	1.179	1.488	1.376	1.548	0.433
26	27	6.979	1.96	2.658	3.104	0.776	1.646	0.817	1.138	1.237	0.81	0.283
27	28	6.962	1.909	1.748	3.078	1.06	0.987	0.461	1.477	1.082	0.76	0.341
28	29	7.127	1.54	2.756	2.874	0.946	0.793	0.485	0.707	1.274	0.999	0.222
29	30	5.749	1.304	2.122	2.934	0.435	0.628	0.278	2.569	1.857	1.299	0.189
30	31	3.15	0.77	0.905	1.761	1.318	1.033	0.639	1.044	0.859	0.64	0.227
31	32	3.743	0.639	2.445	3.627	1.131	1.007	0.266	1.891	1.276	1.029	0.468
32	33	4.223	0.593	0.639	6.349	0.226	0.486	0.379	1.202	0.433	0.909	0.056
33	34	3.393	0.648	0.834	4.196	1.138	0.707	0.548	1.297	0.623	0.616	0.087
34	35	4.231	0.528	1.798	4.014	1.708	1.116	1.456	2.213	1.065	0.881	0.277
35	36	2.395	0.521	1.46	3.31	1.498	2.364	1.525	0.932	0.948	1.069	0.261
36	37	2.862	0.439	1.325	3.872	2.145	2.352	1.314	1.493	1.282	1.075	0.17
37	38	2.352	0.471	1.19	1.699	1	1.622	0.668	1.289	1.139	0.539	0.738
38	39	2.401	0.7	1.181	1.487	1.382	1.402	0.568	3.081	0.404	0.666	0.266
