id	name/period	crime_organised	Economic_situation	Eurozone	SMEs	Banking	(Un)employment/globalization	Terrorism	Immigration	Immigration/asylum	Climate_change	Climate_change/emission_trading	Energy/resources	Environment
0	html_no	20	3	32	35	44	30	61	77	41	68	54	25	50
1	topic_no	108	73	26	96	74	68	118	78	11	106	53	37	9
2	1	0.416	0.068	0.291	0.101	0.294	0.264	0.006	0	0.081	0.039	0	0.37	0.423
3	2	0	0	0.143	0.101	0.874	0.187	0	0	0	0	0	0	0.178
4	3	0.038	0.032	0.055	0.029	0.241	0.067	0.002	0	0.027	0.018	0.002	0.235	0.2
5	4	0.301	0.182	0.067	0.086	0.263	0.092	0.007	0.005	0.075	0.011	0.003	0.214	0.256
6	5	0.309	0.063	0.103	0.172	0.468	0.33	0.008	0.006	0.059	0.01	0.017	0.133	0.315
7	6	0.108	0.099	0.21	0.072	0.221	0.061	0	0	0.032	0.028	0.006	0.023	0.261
8	7	0.578	0.07	0.345	0.12	0.19	0.04	0.004	0.005	0.011	0.033	0.024	0.113	0.292
9	8	0.289	0.039	0.212	0.092	0.407	0.081	0.05	0.002	0.026	0.011	0.003	0.101	0.405
10	9	0.276	0.104	0.3	0.043	0.322	0.075	0.07	0.005	0.031	0.004	0.01	0.264	0.403
11	10	0.259	0.033	0.159	0.031	0.114	0.08	0.017	0.006	0.051	0.004	0	0.152	0.295
12	11	0.15	0.078	0.142	0.116	0.227	0.132	0.008	0.017	0.056	0	0.01	0.18	0.201
13	12	0.773	0.075	0.173	0.116	0.183	0.023	0.005	0.021	0.186	0.106	0.067	0.176	0.553
14	13	0.827	0.199	0.455	0.225	0.199	0.147	0	0.013	0.282	0	0.035	0.152	0.427
15	14	0.483	0.55	0.309	0.111	0.226	0.115	0.016	0.006	0.193	0.012	0.101	0.178	0.401
16	15	0.264	0.298	0.571	0.218	0.509	0.086	0.042	0.008	0.191	0.002	0.112	0.186	0.43
17	16	0.406	0.416	0.233	0.131	0.209	0.17	0.036	0.034	0.188	0.025	0.105	0.111	0.527
18	17	0.647	0.16	0.291	0.266	0.598	0.109	0.116	0.008	0.029	0.038	0.067	0.36	0.226
19	18	0.624	0.238	0.271	0.095	0.292	0.128	0.062	0.005	0.353	0.052	0.116	0.283	0.445
20	19	0.555	0.428	0.491	0.205	0.26	0.193	0.067	0.006	0.04	0.014	0.062	0.294	0.532
21	20	0.317	0.108	0.208	0.1	0.251	0.13	0.011	0.046	0.311	0.032	0.028	0.292	0.402
22	21	0.547	0.154	0.263	0.166	0.706	0.063	0.068	0.035	0.221	0.057	0.059	0.38	0.568
23	22	0.368	0.401	0.282	0.148	0.391	0.166	0.067	0.041	0.212	0.03	0.11	0.123	0.232
24	23	0.285	0.88	0.262	0.066	0.42	0.121	0.057	0.023	0.172	0.076	0.024	0.213	1.053
25	24	1.072	0.236	0.361	0.067	0.303	0.211	0.068	0.012	0.163	0.052	0.097	0.238	0.496
26	25	1.521	1.115	0.954	0.085	0.424	0.143	0.049	0	0.356	0.024	0.203	0.264	0.325
27	26	0.301	0.508	0.973	0.097	0.326	0.742	0.036	0.018	1.074	0.018	0.214	0.178	0.327
28	27	1.218	0.537	0.475	0.026	0.305	0.414	0.083	0.007	0.261	0.071	0.281	0.362	0.727
29	28	0.63	0.565	0.408	0.059	0.483	0.435	0.051	0.005	0.191	0.02	0.244	0.328	0.481
30	29	1.147	0.559	0.904	0.032	0.294	0.749	0.081	0.023	1.04	0.072	0.534	0.469	0.724
31	30	1.327	0.526	0.281	0.033	0.575	0.154	0.082	0.016	0.098	0.048	0.433	0.364	0.398
32	31	1.787	1.735	0.8	0.083	0.599	0.21	0.048	0.009	0.021	0.02	0.575	0.408	0.377
33	32	0.549	0.567	0.359	0.093	0.322	0.15	0.034	0	0.134	0.109	0.579	0.239	0.708
34	33	1.217	0.681	0.318	0.163	0.815	0.254	0.112	0	0.077	0.028	0.732	0.35	0.861
35	34	0.825	0.113	0.408	0.08	0.367	0.433	0.104	0.003	0.041	0.041	0.455	0.307	0.3
36	35	0.266	0.711	0.444	0.111	0.406	0.181	0.015	0	0.078	0.093	0.361	0.198	0.166
37	36	1.385	0.321	0.469	0.057	1.274	0.221	0.025	0.052	0.144	0.179	0.752	0.31	0.215
38	37	0.309	0.626	0.269	0.068	0.341	0.217	0.069	0.035	0.185	0.051	0.767	0.335	0.598
39	38	0.849	0.098	0.341	0.055	0.741	0.101	0.025	0.046	0.159	0.06	0.841	0.356	0.523
40	39	1.365	0.745	0.485	0.179	0.28	0.215	0.028	0.011	0.162	0.02	1.049	0.165	0.688
41	40	0.346	0.781	0.839	0.114	1.296	0.048	0	0.003	0.084	0.069	1.146	0.304	0.339
