	Unnamed: 0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149
0	1	0.0	0.034	0.058	1.428	1.534	0.025	0.022	0.027	0.851	0.025	0.115	0.099	0.113	0.003	0.116	0.099	0.043	1.24	0.0	0.115	0.072	0.165	0.005	0.018	0.092	0.087	0.132	0.102	0.027	0.0	0.064	0.0	0.023	0.027	0.038	0.0	0.0	0.008	0.322	0.023	0.053	0.238	0.071	0.0	0.028	0.021	0.113	0.075	0.933	0.022	9.996	1.697	0.008	0.282	0.007	0.005	0.198	0.002	0.063	0.709	0.025	0.23	0.014	0.525	0.053	0.003	0.007	0.003	0.072	0.059	0.025	0.061	0.0	0.019	0.126	0.002	0.37	0.034	0.034	0.026	0.259	0.0	0.06	0.054	0.103	0.536	0.385	0.146	0.011	0.018	0.082	0.16	0.014	0.014	0.153	0.116	0.028	0.01	0.277	0.062	0.033	0.001	0.036	0.007	0.081	0.013	0.187	0.046	0.037	0.02	0.0	0.083	0.055	0.085	0.023	0.166	0.968	0.008	0.647	0.005	0.053	2.848	0.043	0.008	0.011	0.12	0.028	0.017	0.018	0.165	0.007	0.066	0.104	0.299	0.369	0.0	0.0	0.013	0.024	0.047	0.006	1.513	0.113	0.087	0.032	0.013	0.026	0.292	0.001	0.01
1	2	0.0	0.0	0.0	0.006	0.008	0.0	0.0	0.0	0.305	0.0	0.037	0.011	0.032	0.0	0.073	0.051	0.0	0.624	0.006	0.06	0.032	0.0	0.074	0.064	0.0	0.232	0.021	0.187	0.0	0.0	0.0	0.0	0.0	0.006	0.047	0.0	0.0	0.002	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.031	0.041	0.009	0.007	0.008	1.974	3.278	0.0	0.459	0.0	0.0	0.004	0.0	0.0	0.07	0.0	0.017	0.0	0.031	0.0	0.016	0.0	0.0	0.0	0.008	0.007	0.038	0.0	0.058	0.021	0.0	0.927	0.0	0.023	0.04	0.427	0.0	0.0	0.0	0.034	0.064	0.006	0.04	0.009	0.064	0.022	0.054	0.0	0.0	0.013	0.0	0.014	0.0	0.077	0.005	0.006	0.0	0.0	0.0	0.011	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.141	0.173	0.0	0.0	0.207	0.079	0.026	0.002	0.0	0.451	0.0	0.0	0.0	0.114	0.0	0.0	0.0	0.013	0.0	0.0	0.078	0.348	0.042	0.0	0.0	0.0	0.0	0.006	0.0	0.011	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.005
2	3	0.0	0.078	0.022	0.788	0.61	0.003	0.005	0.0	0.738	0.023	0.087	0.031	0.039	0.004	0.108	0.02	0.002	0.551	0.0	0.118	0.116	0.164	0.004	0.011	0.083	0.063	0.074	0.073	0.012	0.0	0.057	0.0	0.039	0.006	0.009	0.0	0.0	0.002	0.033	0.059	0.002	0.081	0.085	0.001	0.019	0.001	0.073	0.06	1.147	0.024	4.818	0.927	0.007	0.35	0.033	0.006	0.167	0.006	0.025	0.654	0.079	0.072	0.003	0.559	0.012	0.0	0.003	0.0	0.078	0.004	0.038	0.084	0.0	0.021	0.055	0.0	0.273	0.005	0.047	0.01	0.112	0.003	0.036	0.027	0.006	0.216	0.136	0.108	0.133	0.066	0.208	0.023	0.001	0.012	0.308	0.219	0.025	0.0	0.154	0.112	0.044	0.005	0.016	0.001	0.045	0.014	0.028	0.027	0.019	0.009	0.008	0.023	0.026	0.07	0.013	0.006	0.472	0.019	0.509	0.003	0.055	1.65	0.016	0.011	0.065	0.069	0.041	0.006	0.0	0.09	0.009	0.013	0.108	0.427	0.19	0.0	0.013	0.006	0.052	0.03	0.001	0.093	0.064	0.036	0.024	0.023	0.02	0.087	0.0	0.014
3	4	0.0	0.216	0.035	0.987	1.224	0.0	0.012	0.0	0.684	0.009	0.198	0.046	0.079	0.001	0.186	0.047	0.167	0.45	0.001	0.145	0.079	0.183	0.003	0.039	0.082	0.088	0.13	0.114	0.04	0.0	0.035	0.0	0.017	0.032	0.014	0.0	0.0	0.006	0.1	0.048	0.05	0.148	0.071	0.0	0.041	0.017	0.255	0.082	1.39	0.037	8.242	0.984	0.023	0.388	0.016	0.003	0.175	0.001	0.016	1.101	0.129	0.103	0.007	0.633	0.004	0.006	0.015	0.05	0.124	0.015	0.044	0.1	0.0	0.018	0.06	0.002	0.21	0.017	0.026	0.011	0.043	0.042	0.051	0.059	0.06	0.339	0.092	0.152	0.052	0.167	0.086	0.03	0.001	0.043	0.488	0.167	0.037	0.0	0.109	0.113	0.048	0.002	0.052	0.026	0.044	0.008	0.113	0.05	0.032	0.02	0.002	0.1	0.077	0.186	0.005	0.064	1.755	0.015	0.641	0.0	0.051	2.894	0.068	0.013	0.049	0.135	0.004	0.007	0.013	0.148	0.006	0.038	0.165	0.12	0.405	0.0	0.003	0.003	0.009	0.023	0.003	0.429	0.038	0.064	0.031	0.044	0.052	0.101	0.009	0.019
4	5	0.004	0.079	0.049	1.17	1.685	0.002	0.008	0.0	1.091	0.046	0.12	0.043	0.114	0.02	0.18	0.049	0.031	1.004	0.005	0.138	0.053	0.249	0.031	0.085	0.088	0.064	0.011	0.158	0.021	0.0	0.085	0.0	0.024	0.02	0.003	0.0	0.0	0.013	0.02	0.02	0.069	0.077	0.292	0.01	0.029	0.026	0.084	0.132	3.624	0.094	5.137	2.274	0.013	0.675	0.019	0.003	0.078	0.104	0.024	1.385	0.359	0.139	0.007	1.15	0.006	0.007	0.032	0.01	0.041	0.007	0.016	0.085	0.0	0.02	0.111	0.003	0.32	0.019	0.029	0.017	0.348	0.017	0.101	0.024	0.062	0.272	0.12	0.246	0.072	0.885	0.273	0.103	0.009	0.014	0.252	0.208	0.065	0.012	0.138	0.199	0.042	0.007	0.07	0.022	0.078	0.056	0.085	0.244	0.013	0.052	0.007	0.061	0.049	0.19	0.009	0.128	9.0	0.013	1.32	0.005	0.12	2.4	0.059	0.036	0.029	0.065	0.005	0.047	0.02	0.231	0.016	0.018	0.286	0.525	0.297	0.0	0.006	0.011	0.037	0.06	0.0	0.626	0.121	0.071	0.073	0.015	0.073	0.046	0.008	0.022
5	6	0.0	0.112	0.008	0.79	0.911	0.0	0.007	0.0	0.628	0.033	0.066	0.065	0.034	0.019	0.143	0.017	0.019	1.087	0.003	0.091	0.129	0.11	0.02	0.038	0.243	0.069	0.107	0.088	0.011	0.0	0.046	0.0	0.01	0.015	0.01	0.0	0.001	0.008	0.015	0.073	0.015	0.007	0.039	0.002	0.019	0.007	0.065	0.056	1.311	0.033	4.353	1.581	0.005	0.529	0.016	0.016	0.066	0.039	0.028	0.961	0.11	0.117	0.009	0.644	0.009	0.0	0.009	0.01	0.068	0.027	0.012	0.051	0.008	0.045	0.071	0.001	0.269	0.039	0.027	0.02	0.049	0.051	0.053	0.022	0.07	0.139	0.07	0.12	0.102	0.252	0.199	0.006	0.014	0.002	0.35	0.082	0.023	0.0	0.076	0.059	0.016	0.003	0.04	0.011	0.051	0.014	0.083	0.061	0.02	0.061	0.006	0.104	0.083	0.275	0.009	0.069	2.183	0.027	0.682	0.002	0.023	1.667	0.023	0.042	0.02	0.099	0.0	0.075	0.004	0.032	0.011	0.034	0.108	0.088	0.302	0.0	0.0	0.001	0.038	0.006	0.0	0.174	0.135	0.062	0.005	0.003	0.019	0.074	0.001	0.012
6	7	0.004	0.153	0.005	1.038	1.257	0.006	0.013	0.0	1.51	0.027	0.203	0.092	0.096	0.0	0.209	0.012	0.059	0.771	0.009	0.146	0.056	0.28	0.033	0.019	0.322	0.096	0.052	0.066	0.02	0.0	0.07	0.009	0.069	0.066	0.058	0.0	0.0	0.002	0.05	0.005	0.025	0.069	0.107	0.0	0.025	0.041	0.557	0.1	1.664	0.021	4.718	1.587	0.025	0.489	0.006	0.001	0.202	0.03	0.008	1.042	0.156	0.236	0.001	0.859	0.038	0.012	0.045	0.005	0.09	0.068	0.014	0.017	0.0	0.027	0.128	0.001	0.274	0.024	0.1	0.006	0.109	0.01	0.221	0.051	0.047	0.267	0.062	0.179	0.179	0.192	0.105	0.033	0.001	0.033	0.581	0.23	0.106	0.0	0.177	0.081	0.05	0.007	0.089	0.026	0.103	0.0	0.121	0.008	0.009	0.056	0.044	0.17	0.166	0.084	0.014	0.032	2.65	0.071	0.854	0.006	0.08	1.917	0.06	0.057	0.021	0.095	0.011	0.125	0.025	0.442	0.071	0.051	0.231	0.341	0.255	0.0	0.006	0.049	0.011	0.049	0.003	1.026	0.161	0.095	0.094	0.023	0.044	0.02	0.0	0.006
7	8	0.0	0.047	0.053	1.195	1.269	0.002	0.019	0.0	0.698	0.061	0.176	0.172	0.103	0.002	0.167	0.016	0.007	1.181	0.001	0.135	0.05	0.164	0.03	0.007	0.166	0.042	0.042	0.114	0.011	0.0	0.038	0.003	0.005	0.086	0.01	0.0	0.0	0.045	0.069	0.008	0.008	0.083	0.077	0.04	0.022	0.008	0.237	0.044	2.664	0.069	2.925	2.144	0.01	0.471	0.028	0.006	0.172	0.007	0.008	0.939	0.217	0.027	0.002	1.144	0.012	0.052	0.021	0.031	0.124	0.045	0.013	0.071	0.0	0.022	0.1	0.0	0.442	0.014	0.031	0.005	0.165	0.012	0.086	0.016	0.039	0.326	0.089	0.183	0.038	0.228	0.222	0.098	0.006	0.015	0.279	0.203	0.075	0.003	0.141	0.058	0.104	0.025	0.03	0.018	0.044	0.039	0.053	0.06	0.017	0.039	0.007	0.037	0.035	0.079	0.008	0.025	3.247	0.022	0.798	0.033	0.095	1.512	0.031	0.07	0.026	0.111	0.013	0.044	0.013	0.074	0.017	0.04	0.261	0.329	0.45	0.0	0.001	0.023	0.002	0.009	0.005	0.372	0.058	0.184	0.033	0.0	0.085	0.079	0.0	0.013
8	9	0.0	0.027	0.034	1.062	1.654	0.0	0.009	0.001	1.375	0.027	0.074	0.11	0.061	0.001	0.167	0.008	0.024	0.551	0.001	0.128	0.107	0.166	0.045	0.036	0.082	0.057	0.033	0.126	0.029	0.0	0.095	0.001	0.015	0.028	0.034	0.0	0.009	0.001	0.029	0.03	0.09	0.16	0.057	0.0	0.017	0.033	0.121	0.056	1.861	0.075	7.963	1.007	0.018	0.264	0.026	0.009	0.083	0.006	0.078	0.964	0.118	0.193	0.001	0.87	0.012	0.0	0.011	0.024	0.065	0.003	0.032	0.037	0.0	0.021	0.024	0.001	0.327	0.047	0.035	0.043	0.09	0.011	0.101	0.017	0.013	0.324	0.051	0.119	0.075	0.047	0.206	0.011	0.001	0.083	0.543	0.107	0.052	0.0	0.142	0.068	0.046	0.013	0.08	0.002	0.056	0.003	0.106	0.08	0.021	0.03	0.001	0.051	0.081	0.135	0.003	0.063	1.152	0.009	0.82	0.035	0.126	2.679	0.062	0.085	0.075	0.093	0.002	0.008	0.018	0.242	0.043	0.028	0.193	0.158	0.242	0.0	0.009	0.009	0.004	0.012	0.0	0.266	0.104	0.035	0.095	0.001	0.018	0.121	0.001	0.008
9	10	0.0	0.068	0.031	0.681	1.113	0.009	0.008	0.001	0.475	0.014	0.092	0.107	0.114	0.002	0.085	0.04	0.054	0.446	0.0	0.077	0.026	0.217	0.011	0.009	0.044	0.057	0.046	0.089	0.022	0.0	0.021	0.0	0.022	0.052	0.002	0.0	0.0	0.008	0.014	0.013	0.004	0.103	0.089	0.0	0.022	0.003	0.088	0.034	1.128	0.025	6.273	1.378	0.005	0.313	0.013	0.013	0.119	0.006	0.03	0.757	0.064	0.027	0.001	0.583	0.008	0.05	0.021	0.0	0.033	0.0	0.004	0.047	0.0	0.044	0.047	0.002	0.118	0.012	0.024	0.012	0.112	0.005	0.138	0.015	0.053	0.199	0.077	0.188	0.064	0.005	0.188	0.041	0.0	0.104	0.134	0.168	0.071	0.0	0.153	0.044	0.035	0.01	0.021	0.01	0.11	0.029	0.08	0.007	0.017	0.011	0.004	0.055	0.032	0.107	0.003	0.032	0.625	0.017	0.492	0.005	0.055	1.914	0.036	0.043	0.016	0.063	0.022	0.011	0.001	0.172	0.01	0.05	0.193	0.352	0.301	0.0	0.001	0.012	0.008	0.018	0.004	0.452	0.075	0.05	0.015	0.014	0.011	0.047	0.001	0.024
