id	period	Economy/emplyoment	Climate_change	Renewable_energy	Environment/climate	Terrorism	Education	Employment	Immigration	Research	Pensions	Taxes	Euro	Immigration/asylum	Terrorism/names
0	html_no	6	8	28	31	39	42	51	53	65	72	88	101	112	117
1	topic_no	16	31	41	85	123	115	80	88	91	42	11	144	5	93
2	2	0.111	0	0.032	0	0	0	0	0.916	0	0	0	0	0.018	0
3	3	0.006	1.29	0	0	0	0.109	0.925	0.504	0	0	0	0	0.934	0
4	4	0	0.053	0	0	0.016	0	0.027	0.457	0	0	0.026	0	0.04	0
5	5	0.052	0.007	0	0	0	0.14	0.022	0.033	0	0	0	0	0.078	0
6	6	0	0.136	0	0	0.007	0	0	0.021	0	0	0	0.007	0.023	0
7	7	0.048	0.055	0.003	0	0.002	0	0.013	0.261	0	0	0.141	0	0.083	0
8	8	0.009	0.013	0.012	0	0	0	0.032	0.067	0	0	0.013	0	0.06	0
9	9	0	0.015	0.004	0	0.005	0.05	0	0.04	0	0	0	0	0	0
10	10	0	0.031	0.002	0	0	0	0.015	0.04	0	0	0.064	0	0.062	0
11	11	0	0.013	0	0	0.002	0.082	0.014	0.089	0	0	0	0	0.039	0
12	12	0.001	0.02	0	0	0	0.02	0.027	0.06	0	0	0.07	0	0.018	0.002
13	13	0	0.281	0	0	0	0.275	0	0.387	0	0	2.234	0	0.522	0
14	14	0	0.618	0	0	0.132	0.599	0	0.922	0	0	0.683	0	0.407	0
15	15	0	0.264	0.046	0	0.286	0.215	0.05	0.252	0	0	0	0.013	0.159	0
16	16	0	0.201	0	0	0	0.638	0.075	0.336	0	0	0.284	0	0.139	0
17	17	0	0.053	0	0	0	0	0.036	0.154	0	0	0	0	0.048	0
18	18	0.004	0.037	0.017	0	0.407	0.023	0.068	0.422	0	0	0.057	0	0.278	0.077
19	19	0	0	0	0	0	0	0.04	0.437	0	0	0.048	0.19	0.168	0
20	20	0	0.036	0	0	0.007	0.005	0.252	0.413	0	0	0.023	0	0.108	0
21	21	0	0.2	0	0	0.034	0.247	0.035	0.314	0.036	0	0	0	0.541	0
22	22	0.046	0.216	0.022	0	0.025	0.487	0.098	0.3	0	0	0	0.026	0.404	0
23	23	0	0.046	0.017	0	0.03	0.058	0.064	0.239	0	0	0.015	0.015	0.197	0
24	24	0	0.234	0	0	0	0.144	0.165	0.185	0	0	0.049	0	0.142	0.034
25	25	0	0.181	0	0	0	0.162	0.009	0.102	0.032	0	0.052	0	0.692	0.022
26	26	0	0.07	0.005	0	0	0	0	0.262	0	0	0	0.012	0.028	0.012
27	27	0	0.126	0	0	0	0.311	0.6	0.173	0.008	0	0.377	0	0.03	0
28	28	0	0.31	0	0	0	0	0.326	0.404	0	0	1.15	0	0.864	0
29	29	0	0	0	0	0.054	0.021	0	0.472	0	0	0	0	0.218	0.078
30	30	0	0.041	0.019	0	0.023	0.008	0.011	0.187	0.1	0	0	0	0.035	0
31	31	0.027	0.01	0.008	0	0.655	0.072	0	0.504	0	0	0	0	0	0.128
32	32	0	0.017	0	0	0.005	0.336	0.012	0.064	0	0	0	0.026	0.075	0
33	33	0	0	0.038	0	0	0	0	0.035	0	0	0.063	0	0.46	0
34	34	0.017	0.672	0.24	0	0.026	0.072	0	0.366	0	0	0	0	0.227	0
35	35	0	0	0	0	0	0	0	0.195	0	0	0	0	0.179	0
36	36	0	0.186	0	0	0	0.862	0	0.072	0	0	0.01	0	0.162	0
37	37	0	0	0.248	0	0.234	0.109	0.054	0.075	0	0	0	0	0	0
38	38	0	0.029	0	0	0	0	0.294	0.1	0	0	0.014	0	0.604	0
39	39	0	0	0	0	0	0.136	0	0.087	0	0	0.083	0	0.005	0
40	40	0	0.268	0	0	0	0	0	0.417	0	0	0	0	0.284	0
