	Unnamed: 0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149
0	2	0.009	0.007	0.035	1.821	2.015	0.011	0.019	0.0	0.746	1.096	1.625	0.006	0.148	0.014	0.117	0.017	0.0	4.202	0.001	0.406	0.124	4.082	0.0	0.025	0.247	0.129	0.083	0.388	0.111	0.0	0.111	0.0	0.182	0.961	0.0	0.0	0.0	0.07	0.425	0.015	0.054	0.004	0.223	0.0	0.05	0.03	0.147	0.174	1.268	0.015	3.758	4.738	0.007	0.541	0.032	0.0	1.19	0.029	0.014	0.483	0.004	0.009	0.0	2.752	0.019	0.065	0.042	0.026	3.424	0.127	0.092	0.068	0.0	0.078	0.54	0.0	0.073	0.009	0.012	0.003	0.269	0.039	0.189	0.237	0.195	0.487	0.246	0.839	0.094	0.146	0.161	0.019	0.0	0.089	0.317	0.19	0.083	0.0	0.045	0.252	0.009	0.006	0.042	0.008	0.247	0.048	0.035	0.104	0.007	0.0	0.083	0.051	0.607	0.111	0.019	0.105	1.762	0.026	0.138	0.0	0.051	6.677	0.088	0.0	0.047	1.534	0.013	0.208	0.075	0.791	0.677	0.032	0.219	0.013	3.595	0.0	0.055	0.0	0.01	0.023	0.007	0.328	1.467	0.121	0.134	0.007	0.36	0.527	0.009	0.007
1	3	0.002	0.12	0.01	0.688	1.071	0.005	0.006	0.0	0.495	0.933	0.688	0.02	0.033	0.014	0.105	0.014	0.005	1.253	0.0	0.231	0.132	0.718	0.01	0.053	0.136	0.035	0.018	0.098	0.018	0.0	0.087	0.0	0.003	0.545	0.007	0.0	0.0	0.044	0.029	0.036	0.043	0.006	0.093	0.0	0.022	0.0	0.131	0.099	0.822	0.004	3.499	2.787	0.032	0.229	0.069	0.0	0.629	0.065	0.008	0.096	0.006	0.055	0.0	1.088	0.03	0.0	0.003	0.0	1.897	0.004	0.014	0.025	0.0	0.019	0.164	0.0	0.082	0.01	0.027	0.018	0.072	0.004	0.01	0.02	0.18	0.122	0.091	0.276	0.009	0.144	0.092	0.016	0.0	0.03	0.475	0.058	0.071	0.0	0.051	0.156	0.032	0.0	0.009	0.0	0.194	0.009	0.042	0.015	0.01	0.019	0.01	0.111	0.103	0.208	0.006	0.062	1.1	0.001	0.061	0.002	0.016	4.158	0.052	0.008	0.018	1.493	0.004	0.161	0.0	0.619	0.008	0.072	0.081	0.0	1.514	0.0	0.023	0.013	0.0	0.003	0.0	0.332	0.734	0.023	0.111	0.007	0.092	0.126	0.002	0.0
2	4	0.0	0.019	0.014	0.478	1.324	0.0	0.012	0.0	0.525	0.389	0.664	0.008	0.017	0.001	0.06	0.027	0.0	0.706	0.0	0.21	0.068	0.471	0.0	0.005	0.114	0.065	0.036	0.06	0.029	0.0	0.036	0.0	0.001	0.066	0.0	0.0	0.013	0.003	0.006	0.0	0.085	0.003	0.035	0.0	0.014	0.007	0.147	0.053	0.332	0.004	2.758	0.534	0.004	0.158	0.085	0.003	0.173	0.006	0.005	0.206	0.0	0.015	0.0	0.641	0.013	0.006	0.004	0.0	1.11	0.014	0.017	0.012	0.0	0.024	0.062	0.0	0.044	0.016	0.022	0.002	0.035	0.0	0.009	0.021	0.059	0.017	0.078	0.127	0.004	0.046	0.084	0.02	0.0	0.009	0.085	0.153	0.048	0.001	0.021	0.083	0.013	0.0	0.021	0.031	0.081	0.0	0.075	0.005	0.02	0.019	0.012	0.012	0.083	0.04	0.006	0.0	0.45	0.003	0.186	0.0	0.011	2.181	0.014	0.0	0.016	0.626	0.0	0.129	0.004	0.298	0.023	0.011	0.06	0.003	1.27	0.0	0.025	0.004	0.0	0.015	0.004	0.13	0.376	0.035	0.043	0.011	0.252	0.045	0.024	0.005
3	5	0.0	0.004	0.003	0.469	0.832	0.041	0.005	0.0	0.424	0.2	0.439	0.007	0.006	0.006	0.076	0.017	0.0	0.334	0.0	0.152	0.05	0.458	0.002	0.011	0.062	0.021	0.01	0.046	0.008	0.0	0.057	0.0	0.009	0.031	0.015	0.001	0.0	0.028	0.022	0.002	0.021	0.002	0.035	0.0	0.015	0.007	0.08	0.034	0.28	0.003	3.209	0.92	0.013	0.115	0.032	0.004	0.512	0.009	0.0	0.09	0.001	0.062	0.0	0.481	0.005	0.0	0.005	0.009	0.781	0.002	0.011	0.009	0.0	0.019	0.059	0.0	0.049	0.01	0.032	0.007	0.047	0.001	0.008	0.018	0.067	0.052	0.006	0.12	0.003	0.046	0.035	0.001	0.0	0.026	0.06	0.046	0.065	0.004	0.031	0.072	0.023	0.0	0.01	0.008	0.113	0.004	0.029	0.006	0.006	0.045	0.011	0.021	0.126	0.028	0.006	0.009	0.476	0.013	0.044	0.016	0.001	2.459	0.016	0.002	0.006	0.773	0.002	0.145	0.0	0.341	0.009	0.043	0.047	0.005	1.153	0.0	0.003	0.01	0.0	0.005	0.0	0.092	0.408	0.036	0.039	0.007	0.055	0.023	0.0	0.012
4	6	0.0	0.0	0.006	0.648	0.821	0.0	0.019	0.0	0.574	0.185	0.504	0.001	0.037	0.0	0.052	0.001	0.013	0.366	0.0	0.207	0.033	0.659	0.003	0.009	0.047	0.015	0.014	0.087	0.003	0.0	0.044	0.011	0.003	0.042	0.041	0.0	0.0	0.098	0.0	0.006	0.006	0.0	0.015	0.0	0.039	0.008	0.066	0.042	0.563	0.006	3.09	1.186	0.003	0.08	0.007	0.0	0.431	0.004	0.0	0.165	0.005	0.013	0.0	0.688	0.07	0.071	0.004	0.0	0.868	0.015	0.019	0.026	0.0	0.043	0.055	0.0	0.036	0.005	0.04	0.001	0.017	0.008	0.011	0.011	0.138	0.075	0.025	0.125	0.127	0.043	0.056	0.003	0.0	0.009	0.174	0.068	0.026	0.0	0.008	0.123	0.028	0.0	0.002	0.042	0.063	0.004	0.027	0.048	0.004	0.017	0.011	0.021	0.165	0.032	0.007	0.016	0.485	0.023	0.036	0.003	0.042	2.58	0.044	0.011	0.005	0.58	0.0	0.165	0.0	0.216	0.031	0.007	0.074	0.005	0.824	0.0	0.017	0.0	0.0	0.003	0.0	0.281	0.26	0.023	0.032	0.004	0.128	0.029	0.001	0.014
5	7	0.0	0.001	0.015	1.283	1.281	0.052	0.149	0.0	0.537	4.943	1.469	0.034	0.031	0.003	0.141	0.018	0.002	1.104	0.0	0.33	0.185	1.126	0.012	0.045	0.151	0.016	0.05	0.103	0.054	0.0	0.268	0.009	0.015	0.265	0.01	0.004	0.0	0.013	0.005	0.028	0.028	0.006	0.101	0.0	0.054	0.009	0.327	0.096	4.002	0.073	1.333	4.4	0.001	0.217	0.062	0.004	3.419	0.004	0.006	0.188	0.037	0.16	0.007	1.682	0.206	0.01	0.01	0.001	3.726	0.078	0.027	0.017	0.0	0.077	0.406	0.0	0.058	0.004	0.064	0.059	0.038	0.004	0.008	0.034	0.094	0.065	0.104	0.268	0.049	0.036	0.061	0.006	0.0	0.248	0.168	0.18	0.115	0.0	0.036	0.133	0.258	0.008	0.032	0.003	0.242	0.031	0.016	0.028	0.1	0.0	0.005	0.028	0.208	0.128	0.039	0.027	1.079	0.077	0.139	0.006	0.068	6.255	0.099	0.003	0.012	3.68	0.006	0.209	0.001	0.49	0.015	0.117	0.142	0.0	4.515	0.0	0.026	0.013	0.014	0.172	0.028	0.206	1.025	0.067	0.175	0.014	0.245	0.049	0.001	0.005
6	8	0.0	0.015	0.003	0.69	0.867	0.019	0.157	0.0	0.659	5.307	1.083	0.001	0.054	0.001	0.132	0.012	0.0	0.717	0.0	0.246	0.101	0.587	0.0	0.017	0.222	0.05	0.028	0.089	0.053	0.0	0.198	0.007	0.031	0.126	0.0	0.0	0.0	0.01	0.053	0.002	0.022	0.046	0.096	0.0	0.021	0.0	0.297	0.055	2.84	0.051	2.871	2.259	0.007	0.18	0.079	0.002	2.295	0.003	0.001	0.207	0.003	0.176	0.0	0.888	0.052	0.052	0.005	0.0	1.965	0.009	0.033	0.025	0.0	0.081	0.298	0.0	0.101	0.009	0.037	0.037	0.036	0.01	0.059	0.035	0.074	0.121	0.063	0.186	0.073	0.027	0.041	0.007	0.002	0.152	0.044	0.137	0.098	0.0	0.034	0.119	0.04	0.0	0.048	0.002	0.225	0.002	0.049	0.013	0.069	0.01	0.006	0.061	0.135	0.088	0.058	0.029	0.495	0.008	0.086	0.0	0.013	5.167	0.165	0.0	0.023	2.49	0.001	0.229	0.0	0.373	0.039	0.083	0.036	0.005	3.364	0.0	0.028	0.003	0.006	0.006	0.019	0.168	0.804	0.039	0.069	0.018	0.119	0.042	0.004	0.012
7	9	0.0	0.019	0.013	0.83	0.725	0.059	0.092	0.0	0.496	3.502	1.06	0.022	0.022	0.001	0.101	0.008	0.002	0.555	0.001	0.254	0.089	0.491	0.001	0.01	0.124	0.061	0.075	0.083	0.066	0.0	0.186	0.005	0.002	0.216	0.003	0.0	0.0	0.005	0.052	0.009	0.027	0.02	0.142	0.0	0.037	0.005	0.503	0.046	3.096	0.031	2.742	2.295	0.002	0.125	0.073	0.0	2.416	0.007	0.011	0.131	0.0	0.044	0.006	0.819	0.038	0.0	0.007	0.0	2.219	0.003	0.028	0.026	0.0	0.076	0.225	0.0	0.083	0.012	0.023	0.048	0.037	0.014	0.068	0.015	0.059	0.02	0.057	0.118	0.074	0.016	0.068	0.002	0.01	0.404	0.221	0.085	0.054	0.0	0.026	0.169	0.058	0.0	0.018	0.005	0.156	0.003	0.017	0.022	0.08	0.006	0.014	0.01	0.114	0.04	0.034	0.025	0.352	0.001	0.116	0.015	0.013	4.386	0.116	0.003	0.025	2.576	0.008	0.175	0.001	0.397	0.006	0.036	0.07	0.009	3.244	0.0	0.01	0.0	0.0	0.045	0.011	0.057	0.63	0.04	0.068	0.001	0.172	0.145	0.002	0.014
8	10	0.0	0.027	0.004	0.755	0.915	0.001	0.207	0.0	0.772	4.254	0.974	0.004	0.086	0.001	0.074	0.001	0.002	0.619	0.004	0.424	0.073	0.834	0.0	0.019	0.173	0.068	0.013	0.144	0.084	0.0	0.256	0.0	0.026	0.25	0.0	0.0	0.0	0.012	0.063	0.0	0.012	0.016	0.069	0.0	0.069	0.001	0.75	0.057	3.182	0.008	4.95	2.015	0.002	0.172	0.11	0.007	2.359	0.005	0.0	0.165	0.004	0.049	0.0	1.033	0.111	0.016	0.01	0.0	2.325	0.022	0.015	0.01	0.0	0.105	0.279	0.0	0.054	0.004	0.099	0.058	0.045	0.013	0.023	0.009	0.075	0.048	0.03	0.178	0.166	0.048	0.056	0.0	0.006	0.265	0.095	0.202	0.056	0.001	0.022	0.154	0.035	0.003	0.042	0.006	0.288	0.0	0.005	0.015	0.058	0.002	0.011	0.006	0.116	0.046	0.062	0.045	0.756	0.006	0.101	0.002	0.021	5.817	0.25	0.002	0.017	2.244	0.004	0.176	0.003	0.377	0.006	0.045	0.068	0.038	3.688	0.001	0.007	0.0	0.002	0.028	0.037	0.058	0.809	0.072	0.022	0.002	0.087	0.062	0.0	0.025
9	11	0.002	0.06	0.01	0.76	0.762	0.011	0.061	0.0	0.541	2.292	0.731	0.011	0.044	0.0	0.074	0.0	0.0	0.748	0.0	0.294	0.078	0.677	0.002	0.015	0.139	0.032	0.073	0.065	0.033	0.0	0.141	0.0	0.0	0.213	0.002	0.0	0.0	0.017	0.007	0.009	0.028	0.004	0.039	0.0	0.013	0.002	0.592	0.04	2.394	0.037	2.719	1.391	0.0	0.126	0.089	0.0	1.421	0.01	0.005	0.103	0.009	0.034	0.001	0.767	0.057	0.014	0.009	0.002	1.884	0.002	0.022	0.017	0.0	0.055	0.182	0.0	0.012	0.036	0.055	0.033	0.025	0.001	0.05	0.075	0.068	0.083	0.018	0.181	0.049	0.014	0.098	0.002	0.001	0.222	0.508	0.201	0.058	0.0	0.013	0.118	0.017	0.003	0.02	0.005	0.229	0.006	0.024	0.016	0.035	0.009	0.003	0.015	0.177	0.064	0.025	0.008	0.215	0.015	0.106	0.012	0.021	3.35	0.152	0.001	0.048	1.964	0.006	0.131	0.002	0.32	0.008	0.028	0.068	0.01	2.641	0.0	0.01	0.013	0.016	0.014	0.01	0.062	0.538	0.012	0.032	0.003	0.077	0.07	0.0	0.009
