	Unnamed: 0	name/period	Crime	Economic_situation/cohesion	Budget	Euro	Banking	Taxation	Employment	Terrorism/cfsp/military	Immigration	Immigration/Schengen/asylum	Climate_change	Energy_supply
0	0	html_no	51.0	4.0	9.0	10.0	24.0	49.0	18.0	34.0	41.0	40.0	20.0	62.0
1	1	topic_no	11.0	67.0	54.0	15.0	23.0	39.0	72.0	57.0	48.0	7.0	35.0	12.0
2	0	2	0.0	0.043	0.0	0.0	0.0	0.0	0.102	0.009	0.0	0.0	1.079	0.071
3	1	3	0.0	0.509	0.081	0.174	0.277	0.917	1.611	0.015	0.0	0.031	0.115	0.039
4	2	4	0.015	0.0	0.0	0.0	0.0	0.071	0.271	0.0	0.027	0.012	0.705	0.0
5	3	5	0.0	0.014	0.009	0.0	0.669	0.16	0.155	0.0	0.0	0.0	0.035	0.037
6	4	6	0.0	0.01	0.0	0.0	0.05	0.036	0.188	0.001	0.004	0.0	0.199	0.0
7	5	7	0.007	0.02	0.0	0.024	0.354	0.048	0.087	0.0	0.04	0.163	0.03	0.0
8	6	8	0.003	0.039	0.0	0.0	0.0	0.056	0.0	0.004	0.017	0.0	0.056	0.029
9	7	9	0.008	0.0	0.0	0.0	0.086	0.116	0.191	0.0	0.0	0.011	0.011	0.036
10	8	10	0.006	0.0	0.0	0.009	0.01	0.009	0.105	0.0	0.004	0.074	0.072	0.0
11	9	11	0.002	0.075	0.08	0.013	0.035	0.281	0.013	0.0	0.0	0.014	0.342	0.017
12	10	12	0.0	0.012	0.009	0.001	0.127	0.232	0.084	0.015	0.004	0.087	0.174	0.041
13	11	13	0.409	0.0	0.0	0.0	0.0	0.894	0.129	0.021	0.189	3.653	6.772	0.046
14	12	14	0.0	0.349	0.0	0.0	2.285	2.22	0.103	0.052	0.085	0.213	1.936	0.0
15	13	15	0.0	0.023	0.0	0.016	0.561	0.0	0.187	0.0	0.0	0.126	0.886	0.0
16	14	16	0.01	0.202	0.0	0.021	0.496	0.445	0.269	0.423	0.025	0.432	0.324	0.102
17	15	17	0.0	0.034	0.031	0.012	1.512	0.657	0.014	0.062	0.0	0.006	0.532	0.045
18	16	18	0.007	0.032	0.0	0.0	1.103	0.186	0.02	0.032	0.067	0.029	0.122	0.033
19	17	19	0.0	0.325	0.0	0.0	0.228	0.924	0.207	0.012	0.043	0.016	0.092	0.018
20	18	20	0.008	0.264	0.0	0.059	1.52	1.334	0.057	0.0	0.0	0.0	0.275	0.113
21	19	21	0.073	0.068	0.0	0.0	0.608	0.087	0.182	0.04	0.0	0.047	0.163	0.03
22	20	22	0.066	0.366	0.0	0.0	1.819	0.623	0.721	0.096	0.0	0.0	0.825	0.093
23	21	23	0.019	0.114	0.0	0.0	0.995	0.438	0.02	0.002	0.0	0.004	0.4	0.097
24	22	24	0.003	0.022	0.0	0.012	0.438	1.001	0.519	0.0	0.055	0.057	0.168	0.039
25	23	25	0.0	0.067	0.0	0.0	0.023	0.405	0.446	0.0	0.0	0.106	0.153	0.031
26	24	26	0.02	0.047	0.0	0.0	0.183	0.5	0.003	0.004	0.0	0.0	0.032	0.0
27	25	27	0.0	0.0	0.13	0.0	0.226	0.473	0.022	0.0	0.0	0.845	0.198	0.0
28	26	28	0.0	0.646	0.671	1.267	1.212	1.772	0.688	0.0	0.064	0.814	0.366	0.0
29	27	29	0.0	0.0	0.0	0.0	0.567	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	28	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	29	31	0.0	0.009	0.0	0.014	0.436	0.318	0.065	0.0	0.0	0.027	0.118	0.034
32	30	32	0.049	0.012	0.0	0.0	0.133	0.048	0.391	0.0	0.0	0.0	0.022	0.0
33	31	33	0.151	0.297	0.0	0.04	0.391	0.056	0.0	0.0	0.006	0.114	0.068	0.0
34	32	34	0.111	0.57	0.0	0.0	1.144	0.573	0.92	0.027	0.0	0.072	2.154	0.0
35	33	35	0.0	1.054	0.0	0.0	0.395	0.0	0.397	0.0	0.0	0.0	1.782	0.0
36	34	36	0.0	0.05	0.0	0.0	0.282	1.166	0.0	0.0	0.021	0.391	0.036	0.0
37	35	37	0.0	0.037	0.0	0.0	0.463	0.308	0.005	0.0	0.0	0.0	0.0	0.0
38	36	38	0.0	0.0	0.0	0.017	0.142	0.093	0.058	0.0	0.023	0.0	0.187	0.0
39	37	39	0.0	0.214	0.0	0.0	0.325	0.0	0.0	0.042	0.145	0.048	0.141	0.0
40	38	40	0.244	0.0	0.0	0.0	3.723	0.0	0.559	0.0	0.0	0.297	0.0	0.0
