id	name/period	Crime	Economic_situation/cohesion	Budget	Euro	Banking	Taxation	Employment	Terrorism/cfsp/military	Immigration	Immigration/Schengen/asylum	Climate_change	Energy_supply
0	html_no	51	4	9	10	24	49	18	34	41	40	20	62
1	topic_no	11	67	54	15	23	39	72	57	48	7	35	12
2	2	0.02	0.301	0.983	0.075	0.279	0.061	0.373	0.286	0	0.117	0.153	0.029
3	3	0.072	0.425	0.585	0.065	0.27	0.097	0.088	0.093	0	0.025	0.012	0.03
4	4	0.022	0.088	0.31	0.075	0.11	0.026	0.031	0.039	0.01	0.013	0	0.021
5	5	0.007	0.056	0.216	0.017	0.087	0.023	0.065	0.04	0.02	0.001	0.03	0.002
6	6	0.018	0.189	0.294	0.019	0.136	0.002	0.012	0.084	0.004	0.154	0.025	0.017
7	7	0.097	0.093	0.491	0.1	0.131	0.027	0.046	0.263	0.006	0.103	0.043	0.052
8	8	0.023	0.137	0.252	0.034	0.256	0.026	0.07	0.089	0	0.131	0.055	0.065
9	9	0.023	0.015	0.185	0.019	0.17	0.05	0.066	0.162	0.005	0.054	0.022	0.058
10	10	0.042	0.051	0.329	0.006	0.152	0.012	0.035	0.123	0.001	0.181	0.034	0.088
11	11	0.009	0.064	0.209	0.016	0.06	0.037	0.095	0.11	0.002	0.062	0.021	0.047
12	12	0.024	0.123	0.262	0.012	0.343	0.024	0.061	0.145	0.073	0.134	0.03	0.072
13	13	0.032	0.058	0.59	0.078	0.316	0.203	0.05	0.203	0.007	0.002	0.024	0.101
14	14	0.004	0.055	0.748	0.056	0.296	0.119	0.101	0.134	0.022	0.131	0.032	0.04
15	15	0.036	0.15	0.47	0.382	0.695	0.14	0.22	0.327	0.012	0.163	0.077	0.049
16	16	0.026	0.1	0.37	0.129	0.376	0.03	0.125	0.186	0.01	0.156	0.14	0.064
17	17	0.041	0.332	0.382	0.057	0.722	0.105	0.068	0.224	0.002	0.033	0.226	0.036
18	18	0.033	0.212	0.88	0.037	0.482	0.059	0.18	0.169	0.074	0.073	0.015	0.032
19	19	0.014	0.1	0.249	0	0.089	0.025	0.028	0.239	0.022	0.069	0.19	0.028
20	20	0.023	0.149	0.434	0.039	1.006	0.239	0.238	0.163	0	0.196	0.246	0.072
21	21	0.059	0.299	0.323	0.027	0.276	0.06	0.102	0.108	0.003	0.026	0.08	0.01
22	22	0.02	0.201	0.554	0.078	1.003	0.052	0.112	0.145	0.002	0.175	0.211	0.06
23	23	0.043	0.211	0.614	0.106	0.85	0.029	0.039	0.129	0.007	0.172	0.204	0.036
24	24	0.009	0.106	0.349	0.023	1.369	0.078	0.096	0.349	0.017	0.213	0.112	0.034
25	25	0.026	0.097	0.648	0.109	0.852	0.051	0.079	0.38	0.002	0.232	0.235	0.086
26	26	0.017	0.108	0.37	0.056	0.819	0.074	0.169	0.58	0.006	0.106	0.663	0.304
27	27	0.024	0.124	0.32	0.011	0.393	0.036	0.113	0.421	0.017	0.103	0.354	0.035
28	28	0.067	0.381	0.749	0.862	1.001	0.135	0.019	0.472	0.007	0.136	0.134	0.034
29	29	0.005	0.098	0.466	0.144	1.084	0.162	0.07	0.365	0.007	0.013	0.323	0.066
30	30	0.088	0.108	0.184	0.016	1.091	0.064	0.063	0.336	0.007	0.027	0.27	0.047
31	31	0.011	0.065	0.189	0.075	0.408	0.046	0.013	0.314	0.008	0.052	0.097	0.051
32	32	0.016	0.4	0.621	0.06	1.092	0.077	0.078	0.25	0.037	0.249	0.411	0.032
33	33	0.035	0.164	0.751	0.052	2.259	0.024	0.048	0.389	0.01	0.097	0.271	0.025
34	34	0.053	0.067	0.447	0.008	2.554	0.07	0.046	0.323	0.03	0.057	0.214	0.082
35	35	0.031	0.039	0.301	0.062	1.85	0.047	0.036	0.252	0.011	0.162	0.203	0.055
36	36	0.035	0.224	0.726	0.047	1.59	0.026	0.011	0.621	0.026	0.011	0.393	0.078
37	37	0.012	0.142	0.329	0.026	2.928	0.048	0.018	0.252	0.007	0.022	0.107	0.013
38	38	0.01	0.06	0.236	0.005	2.333	0.044	0.056	0.488	0.007	0.231	0.186	0.024
39	39	0.052	0.062	0.351	0.015	1.041	0.037	0.017	0.365	0.004	0.053	0.174	0.033
40	40	0.012	0.236	0.488	0.011	3.524	0.112	0.133	0.327	0	0.092	0.285	0.011
